id,part_num,fg_num
Canvas-Indoor-Plain Banner,05572,CBN1IP
Canvas-Indoor-Single Sided Print Banner,05566,CBN1IS
Canvas-Indoor-Double Sided Print Banner,05579,CBN1ID
Mesh-Indoor-Plain Banner,05571,CBN3IP
Mesh-Indoor-Single Sided Print Banner,05565,CBN3IS
Mesh-Indoor-Double Sided Print Banner,05577,CBN3ID
PVC-Indoor-Plain Banner,05569,CBN2IP
PVC-Indoor-Single Sided Print Banner,05563,CBN2IS
PVC-Indoor-Double Sided Print Banner,05575,CBN2ID
PVC-Outdoor-Plain Banner,05568,CBN2OP
PVC-Outdoor-Single Sided Print Banner,05562,CBN2OS
PVC-Outdoor-Double Sided Print Banner,05574,CBN2OD
Mesh-Outdoor-Plain Banner,05570,CBN3OP
Mesh-Outdoor-Single Sided Print Banner,05564,CBN3OS
Mesh-Outdoor-Double Sided Print Banner,05576,CBN3OD
Canvas-Outdoor-Plain Banner,05573,CBN1OP
Canvas-Outdoor-Single Sided Print Banner,05567,CBN1OS
Canvas-Outdoor-Double Sided Print Banner,05578,CBN1OD
SubDye240-Outdoor-Double Sided Print Banner,11443,CBN40D
