lookup_parameter,fg_num
2inch-Std-universal,IQMPSTD
2inch-Std-universalheavy,IQMPSTD
2inch-Std-basics,IQMPSTD
2inch-Std-basicsheavy,IQMPSTD
2inch-Std-universalbaseonly,IQMPSTD
2inch-Std-universalheavybaseonly,IQMPSTD
2inch-Std-nobase,IQMPSTD
2.5inch-Std-universal,IQMPSTD
2.5inch-Std-universalheavy,IQMPSTD
2.5inch-Std-basics,IQMPSTD
2.5inch-Std-basicsheavy,IQMPSTD
2.5inch-Std-universalbaseonly,IQMPSTD
2.5inch-Std-universalheavybaseonly,IQMPSTD
2.5inch-Std-nobase,IQMPSTD
2inch-Extra-universal,IQMPEXT
2inch-Extra-universalheavy,IQMPEXT
2inch-Extra-basics,IQMPEXT
2inch-Extra-basicsheavy,IQMPEXT
2inch-Extra-universalbaseonly,IQMPEXT
2inch-Extra-universalheavybaseonly,IQMPEXT
2inch-Extra-nobase,IQMPEXT
2.5inch-Extra-universal,IQMPEXT
2.5inch-Extra-universalheavy,IQMPEXT
2.5inch-Extra-basics,IQMPEXT
2.5inch-Extra-basicsheavy,IQMPEXT
2.5inch-Extra-universalbaseonly,IQMPEXT
2.5inch-Extra-universalheavybaseonly,IQMPEXT
2.5inch-Extra-nobase,IQMPEXT
