part_num,item_selling_price
NFRYBF,14.82
NFRY90E,5.91
NFRYEB,7.82
NFRY90T,7.82
NFRY3WC,7.82
NFRY63T,7.82
NFRYMRS,6.18
NFRYMRD,7.82
NFRY63MRD,7.82
NFRYMRC,7.18
NFRYAMRD,17.55
NFRYAT,22.45
NFRYAC,10.27
NFRYAMRS,9.27
NFRYSMB,13.64
NFRYWEB,6.73
NFRYWTB,8.36
NFRYWSEB,6.73
NFRYHT790,13.18
NFRYHT800,13.18
NFRYHT845,13.82
NFRYUT890,14.09
NFRYHT900,14.45
NFRYT990,15.27
NFRYWT1400,22.64
NFRGSFAK,6.73
NFRGBF,14.82
NFRG90E,5.91
NFRGEB,7.82
NFRG90T,7.82
NFRG3WC,7.82
NFRG63T,7.82
NFRGMRS,6.18
NFRGMRD,7.82
NFRG63MRD,7.82
NFRGMRC,7.18
NFRGAMRD,17.55
NFRGAT,22.45
NFRGAC,10.27
NFRGAMRS,9.27
NFRGSMB,13.64
NFRGWEB,6.73
NFRGWTB,8.36
NFRGWSEB,6.73
NFRGHT790,13.18
NFRGHT800,13.18
NFRGHT845,13.82
NFRGUT890,14.09
NFRGHT900,14.45
NFRGT990,15.27
NFRGWT1400,22.64
NFRGSFAK,6.73
