id,part_no
English - Cashier number x please,SLQ1000-ENG-1
English - Please go to position x,SLQ1000-ENG-2
English - Please go to Teller Number x,SLQ1000-ENG-3
English - Customer Service Representative,SLQ1000-ENG-4
French - Cashier number x please,SLQ1000-FRENCH-1
French - Please go to position x,SLQ1000-FRENCH-2
Polish - Cashier number x please,SLQ1000-POLISH-1
Polish - Desk number x please,SLQ1000-POLISH-2
Spanish - Position x is now available,SLQ1000-SPANISH-1
Spanish - Please move to position x,SLQ1000-SPANISH-2
German - Please proceed to counter x,SLQ1000-GERMAN-1
German - Please go to counter x,SLQ1000-GERMAN-2
Arabic - Please go to x,SLQ1000-ARABIC-1
Arabic - Position x please,SLQ1000-ARABIC-2
Welsh Mix - Please go to Position x,SLQ1000-WELSHMIX-1
Dutch Female - Cashier x,SLQ1000-DUTCH-1
Portugese Female - Cashier x Please,SLQ1000-PORTUGESE-1
Spanish Female - Cashier Number x please,SLQ1000-SPANISH-3
Irish Female - Cashier Number x Please,SLQ1000-IRISH-1
