UserID,access_allow
goodmans,TRUE
becketts,FALSE
bennettj,FALSE
birdir,FALSE
butcherz,FALSE
fergusonc,FALSE
finchl,FALSE
avelinen,FALSE
harleyd,FALSE
barao-felicianod,TRUE
hellyerb,FALSE
henshaws,FALSE
hicksonk,FALSE
hoylep,FALSE
ironsn,FALSE
johnsona,FALSE
johnsonc,FALSE
jamesc,FALSE
kanteliar,FALSE
lamba,FALSE
lawh,FALSE
llewellyng,FALSE
lukasikm,FALSE
lungulescum,FALSE
manager,FALSE
mcgalls,FALSE
mcgiugana,FALSE
moodiet,FALSE
penningtonn,FALSE
perrya,FALSE
pocockh,TRUE
pottsd,FALSE
sherwoodc,FALSE
shirek,FALSE
tylerg,FALSE
whitmorem,FALSE
dennisr,FALSE
andresim,FALSE
barretth,FALSE
drewk,FALSE
lambleyt,FALSE
