id,cassette_assy,web_type,web_length,web_pt_search,fg_filter,tape_end_range,topcap_label_denial,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,cassfg_num,comment_string,cycle_time_selector,tensalarm_resetfob_partnum,alrmop_time,dustcover_option,padprint_smartcode_suffix,smart_cass_id,padprint_partnum,NightView_max_length,Standard_max_length,fg_desc_type,suspend_selection
No Cassette,,,,,No Cassette,,TRUE,x,x,x,x,x,x,,,,,,,,,,,x,,,,,,,,,,,,,,x,,x,,,,,x,,,,,,,,,,0,,,,,
Tensabarrier 4 Way Std Plain,53577-AAB,STD,1,04837,Standard,1,,x,,,x,,,,,,,,,,,,,x,x,,x,,,,,,,,,,,,,,,,,,x,,,CAS,Standard Cassette,std,,,00982-33S,,1,,,,,
Tensabarrier 4 Way Std Tensator Printed,53577-AAA,STD,1,04837,Standard,1,TRUE,x,,,x,,,,,,,,,,,,,x,x,,x,,,,,,,,,,,,,,,,,,,,,CAS,Standard Cassette,std,,,00982-33S,007,2,03466-007,,,,
Tensabarrier 4 Way Max Plain,53578-AAB,MAX,2,08136,Max,1,,x,,x,x,,x,,,,,,,,,,,x,,x,,,x,,,,,,,,,,,x,,x,,,,,,CAS,Max Cassette,std,,,00982-33S,,3,,3.50,,,
Tensabarrier 4 Way Max Tensator Printed,53578-AAA,MAX,2,08136,Max,1,TRUE,x,,x,x,,,,,,,,,,,,,x,,x,,,x,,,,,,,,,,,x,,x,,,,,,CAS,Max Cassette,std,,,00982-33S,007,4,03466-007,3.50,,,
Tensacone Orange Max Cassette 4 Way,53657-015,MAX,5,08136,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,CAS-TOPPER,Tensacone Max Cassette (Orange),std,,,,,37,,3.50,,,
Tensacone Orange Dummy,54157-015,RCV,,,End Post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,CAS-TOPPER,Tensacone Dummy Cassette (Orange),std,,,,,38,,,,,
Magnetic Spline Standard Cassette Plain,54173-000,STD,1,04837,Standard,1,,x,,,x,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,CAS-MAG,Magnetic Standard Cassette.,std,,,,,5,,,,,
Magnetic Spline Max Cassette  Plain,54174-000,MAX,2,08136,Magnetic,1,,x,,,x,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,x,,,,,,,,,CAS-MAG,Magnetic Max Cassette,std,,,,,6,,3.45,,,
Magnetic dummy cassette,52451-000,RCV,,,End Post,,,x,,,x,,,,,,,,,,,,,x,,,,,,,,,,,x,,,,x,,,,,,,,,CAS-MAG-RCV,Magnetic Dummy Cassette,std,,,,,7,,,,,
Tensalarm 4way,55813-33S,STD,1,04837,Alarm,1,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,CAS,Tensalarm Standard Cassette,std,,20,,,8,,,,,
