lookup_term,qmatic_partnum,qmatic_desc
Qmatic Standard Cassette-04837-R5,330023001,2.3m Cartridge/Red
Qmatic Standard Cassette-04837-L5,330023002,2.3m Cartridge/Blue
Qmatic Standard Cassette-04837-B9,330023003,2.3m Cartridge/Black
Qmatic Standard Cassette-04837-G2,330023004,2.3m Cartridge/Green
Qmatic Standard Cassette-04837-B5,330023005,2.3m Cartridge/Grey
Qmatic Standard Cassette-04837-S3,330023006,2.3m Cartridge/Black+White Stripe
Qmatic Standard Cassette-04837-S2,330023007,2.3m Cartridge/Black+Red Stripe
Qmatic Standard Cassette-04837-S4,330023008,2.3m Cartridge/Black+Yellow Stripe
Qmatic Standard Cassette-04837-D4,330023009,2.3m Cartridge Black/Yellow Chevron
Qmatic Standard Cassette-04837-D3,330023010,2.3m Cartridge Red/Wht Chevron
Qmatic Standard Cassette-04837-S1,330023011,2.3m Cartridge Black/Blue Stripe
Qmatic Standard Cassette-04837-R7,330023012,2.3m Cartridge Safety Maroon
Qmatic Standard Cassette-Special,330023013,2.3m Printed Cartridge
Qmatic Max Cassette-08136-Y5,330036001,3.65m Cartridge/ Yellow
Qmatic Max Cassette-08136-R5,330036002,3.65m Cartridge/Red
Qmatic Max Cassette-08136-L5,330036003,3.65m Cartridge/Blue
Qmatic Max Cassette-08136-B9,330036004,3.65m Cartridge/Black
Qmatic Max Cassette-08136-B5,330036005,3.65m Cartridge Grey
Qmatic Max Cassette-08136-D4,330036006,3.65m Cartridge/Yw+Blk Chevron
Qmatic Max Cassette-08136-D3,330036007,3.65m Cartridge/Red/White Chevron
Qmatic Max Cassette-08136-R7,330036008,3.65m Cartridge Maroon
Qmatic Max Cassette-Special,330036009,3.65m printed Cartridge
Qmatic Dummy Cassette-,340000008,Dummy Cartridge
Qmatic Standard Cassette-04837-YA,324000903,2.3m Cartridge/Do not Enter
Break to Cut Length,,
Qmatic Standard Cassette-04837-R5-245,330023001,2.3m Cartridge/Red
Qmatic Standard Cassette-04837-L5-245,330023002,2.3m Cartridge/Blue
Qmatic Standard Cassette-04837-B9-245,330023003,2.3m Cartridge/Black
Qmatic Standard Cassette-04837-G2-245,330023004,2.3m Cartridge/Green
Qmatic Standard Cassette-04837-B5-245,330023005,2.3m Cartridge/Grey
Qmatic Standard Cassette-04837-S3-245,330023006,2.3m Cartridge/Black+White Stripe
Qmatic Standard Cassette-04837-S2-245,330023007,2.3m Cartridge/Black+Red Stripe
Qmatic Standard Cassette-04837-S4-245,330023008,2.3m Cartridge/Black+Yellow Stripe
Qmatic Standard Cassette-04837-D4-245,330023009,2.3m Cartridge Black/Yellow Chevron
Qmatic Standard Cassette-04837-D3-245,330023010,2.3m Cartridge Red/Wht Chevron
Qmatic Standard Cassette-04837-S1-245,330023011,2.3m Cartridge Black/Blue Stripe
Qmatic Standard Cassette-04837-R7-245,330023012,2.3m Cartridge Safety Maroon
Qmatic Max Cassette-08136-Y5-380,330036001,3.65m Cartridge/ Yellow
Qmatic Max Cassette-08136-R5-380,330036002,3.65m Cartridge/Red
Qmatic Max Cassette-08136-L5-380,330036003,3.65m Cartridge/Blue
Qmatic Max Cassette-08136-B9-380,330036004,3.65m Cartridge/Black
Qmatic Max Cassette-08136-B5-380,330036005,3.65m Cartridge Grey
Qmatic Max Cassette-08136-D4-380,330036006,3.65m Cartridge/Yw+Blk Chevron
Qmatic Max Cassette-08136-D3-380,330036007,3.65m Cartridge/Red/White Chevron
Qmatic Max Cassette-08136-R7-380,330036008,3.65m Cartridge Maroon
Qmatic Standard Cassette-04837-YA-245,324000903,2.3m Cartridge/Do not Enter
Qmatic Standard Cassette-04837-SDL-245,330023013,2.3m Cartridge/Special
Qmatic Wallmount Maxi Interior-04837-D4-785,24012045,7.70m Wallmount Maxi Interior/Yw+Blk Chevron
Qmatic Standard Cassette-04837-G6,330023004,2.3m Cartridge/Green
