id,r1,r2,r3,r4,fg_suffix,image_ref,r5,r6
A4 portrait -Black Powder Coated,x,,,,A4P-33S,\\EPICORAPP1\Epicor905\Server\ud\TBSignHolderConfigurator\A4PBlack.jpg,,
A4 portrait -Polished Chrome,x,,,,A4P-1P,,,
A4 portrait -Satin Chrome,x,,,,A4P-1S,,,
A4 landscape-Black Powder Coated,x,,,,A4L-33S,\\EPICORAPP1\Epicor905\Server\ud\TBSignHolderConfigurator\A4LBlack.jpg,,
A4 landscape-Polished Chrome,x,,,,A4L-1P,,,
A4 landscape-Satin Chrome,x,,,,A4L-1S,,,
A3 portrait -Black Powder Coated,x,,,,A3P-33S,\\EPICORAPP1\Epicor905\Server\ud\TBSignHolderConfigurator\A3PBlack.jpg,,
A3 portrait -Polished Chrome,x,,,,A3P-1P,,,
A3 portrait -Satin Chrome,x,,,,A3P-1S,,,
A3 landscape -Black Powder Coated,x,,,,A3L-33S,\\EPICORAPP1\Epicor905\Server\ud\TBSignHolderConfigurator\A3LBlack.jpg,,
A3 landscape -Polished Chrome,x,,,,A3L-1P,,,
A3 landscape -Satin Chrome,x,,,,A3L-1S,,,
A4 portrait -Black Powder Coated,,,,,A4P-33S,,,
A4 portrait -Polished Chrome,,,,,A4P-1P,,,
A4 portrait -Satin Chrome,,,,,A4P-1S,,,
A4 landscape-Black Powder Coated,,x,,,A4L-33S,,,
A4 landscape-Polished Chrome,,x,,,A4L-1P,,,
A4 landscape-Satin Chrome,,x,,,A4L-1S,,,
A3 portrait -Black Powder Coated,,,,,A3P-33S,,,
A3 portrait -Polished Chrome,,,,,A3P-1P,,,
A3 portrait -Satin Chrome,,x,,,A3P-1S,,,
A3 landscape-Black Powder Coated,,x,,,A3L-33S,,,
A3 landscape-Polished Chrome,,x,,,A3L-1P,,,
A3 landscape-Satin Chrome,,x,,,A3L-1S,,,
A4 portrait -Polished Chrome,,,x,,A4P-1P,,,
A4 portrait -Satin Chrome,,,x,,A4P-1S,,,
A4 portrait -Polished Brass Plating,,,x,,A4P-2P,,,
A4 portrait -Satin Brass Plating,,,x,,A4P-2S,,,
A4 landscape -Polished Chrome,,,x,,A4L-1P,,,
A4 landscape -Satin Chrome,,,x,,A4L-1S,,,
A4 landscape -Polished Brass Plating,,,x,,A4L-2P,,,
A4 landscape -Satin Brass Plating,,,x,,A4L-2S,,,
A3 portrait -Polished Chrome,,,x,,A3P-1P,,,
A3 portrait -Satin Chrome,,,x,,A3P-1S,,,
A3 portrait -Polished Brass Plating,,,x,,A3P-2P,,,
A3 portrait -Satin Brass Plating,,,x,,A3P-2S,,,
A3 landscape-Polished Chrome,,,x,,A3L-1P,,,
A3 landscape-Satin Chrome,,,x,,A3L-1S,,,
A3 landscape-Polished Brass Plating,,,x,,A3L-2P,,,
A3 landscape-Satin Brass Plating,,,x,,A3L-2S,,,
A4 portrait-Polished Chrome,,,,x,A4P-1P,,,
A4 portrait-Satin Chrome,,,,x,A4P-1S,,,
A4 portrait-Polished Brass Plating,,,,x,A4P-2P,,,
A4 portrait-Satin Brass Plating,,,,x,A4P-2S,,,
A4 landscape-Polished Chrome,,,,x,A4L-1P,,,
A4 landscape-Satin Chrome,,,,x,A4L-1S,,,
A4 landscape-Polished Brass Plating,,,,x,A4L-2P,,,
A4 landscape-Satin Brass Plating,,,,x,A4L-2S,,,
A3 portrait-Polished Chrome,,,,x,A3P-1P,,,
A3 portrait-Satin Chrome,,,,x,A3P-1S,,,
A3 portrait-Polished Brass Plating,,,,x,A3P-2P,,,
A3 portrait-Satin Brass Plating,,,,x,A3P-2S,,,
A3 landscape-Polished Chrome,,,,x,A3L-1P,,,
A3 landscape-Satin Chrome,,,,x,A3L-1S,,,
A3 landscape-Polished Brass Plating,,,,x,A3L-2P,,,
A3 landscape-Satin Brass Plating,,,,x,A3L-2S,,,
A4 portrait -Black Powder Coated - No Label,,,,,A4P-33S-NOLABEL,,,
A4 Portrait Acrylic Insert,,,,,03774-100,,x,
A4 Landscape Acrylic Insert,,,,,00407-100,,x,
A3 Portrait Acrylic Insert,,,,,00408-100,,x,
A3 Landscape Acrylic Insert,,,,,00409-100,,x,
Profile sign 15 x 28 cm Black,,,,,PS611-33S,,,x
Profile sign 15 x 47 cm Black,,,,,PS618-33S,,,x
