slot_configuration_lookup,post_partnum,post_finish_lookup,base_range_lookup,top_cassette_range_lookup,mid_cassette_range_lookup,bot_cassette_range_lookup,extra_cassette_range_lookup,smartcode_entry,fg_num,tapeend_range,post_fix_kit,post_packing,cycle_time_selector
955-TOP,730450,1,1,1,,,,TGP955,TGP144,1,,05269-000,std
955-TOP-MID,05618,2,1,1,2,,,TGP955,TGP244,1,,05269-000,std
955-TOP-BOT,07678,3,1,1,,2,,TGP955,TGP244,1,,05269-000,std
955-TOP-MID-BOT,,,,,,,,TGP955,TGP244,1,,,std
1200-TOP,,,,,,,,TGP1200,TGP144,1,,,std
1200-TOP-MID,,,,,,,,TGP1200,TGP244,1,,,std
1200-TOP-BOT,,,,,,,,TGP1200,TGP244,1,,,std
1200-TOP-MID-BOT,,,,,,,,TGP1200,TGP244,1,,,std
1200-TOP-EXTRA,,,,,,,,TGP1200,TGP244,1,,,std
1200-TOP-MID-EXTRA,,,,,,,,TGP1200,TGP244,1,,,std
1200-TOP-BOT-EXTRA,,,,,,,,TGP1200,TGP244,1,,,std
1200-TOP-MID-BOT-EXTRA,,,,,,,,TGP1200,TGP244,1,,,std
1400-TOP,,,,,,,,TGP1400,TGP144,1,,,std
1400-TOP-MID,,,,,,,,TGP1400,TGP244,1,,,std
1400-TOP-BOT,,,,,,,,TGP1400,TGP244,1,,,std
1400-TOP-MID-BOT,,,,,,,,TGP1400,TGP244,1,,,std
1400-TOP-EXTRA,,,,,,,,TGP1400,TGP244,1,,,std
1400-TOP-MID-EXTRA,,,,,,,,TGP1400,TGP244,1,,,std
1400-TOP-BOT-EXTRA,,,,,,,,TGP1400,TGP244,1,,,std
1400-TOP-MID-BOT-EXTRA,,,,,,,,TGP1400,TGP244,1,,,std
1600-STD,,,,,,,,TGP1600,TGP144,1,,,std
1600-TOP-MID,,,,,,,,TGP1600,TGP244,1,,,std
1600-TOP-BOT,,,,,,,,TGP1600,TGP244,1,,,std
1600-TOP-MID-BOT,,,,,,,,TGP1600,TGP244,1,,,std
1600-TOP-EXTRA,,,,,,,,TGP1600,TGP244,1,,,std
1600-TOP-MID-EXTRA,,,,,,,,TGP1600,TGP244,1,,,std
1600-TOP-BOT-EXTRA,,,,,,,,TGP1600,TGP244,1,,,std
1600-TOP-MID-BOT-EXTRA,,,,,,,,TGP1600,TGP244,1,,,std
1800-TOP,06040,4,1,1,,,,TGP1800,TGP144,1,,,std
1800-TOP-MID,,,,,,,,TGP1800,TGP244,1,,,std
1800-TOP-BOT,,,,,,,,TGP1800,TGP244,1,,,std
1800-TOP-MID-BOT,,,,,,,,TGP1800,TGP244,1,,,std
1800-TOP-EXTRA,,,,,,,,TGP1800,TGP244,1,,,std
1800-TOP-MID-EXTRA,,,,,,,,TGP1800,TGP244,1,,,std
1800-TOP-BOT-EXTRA,,,,,,,,TGP1800,TGP244,1,,,std
1800-TOP-MID-BOT-EXTRA,,,,,,,,TGP1800,TGP244,1,,,std
