id,cassette_assy,prewind_option,web_type,web_length,wedge_partnum,web_pt_search,fg_filter,tape_end_range,topcap_label_denial,topcap_label_part_prefix,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,cassfg_num,comment_string,cycle_time_selector,tensalarm_resetfob_partnum,alrmop_time,dustcover_option,r36,padprint_smartcode_suffix,smart_cass_id,topcap_included,NightView_max_length_m,Standard_max_length,fg_desc_type,suspend_selection,web_length_group1,web_length_group2,web_length_group3,web_length_group4,web_length_group5,base_listprice
pas de cassette,,,,,,,No Cassette,,TRUE,,x,x,x,x,x,,,,,,,,,,,,x,,,,,,,,,,,,,,x,,x,,,,,,,,,,,0,,,,,,,,,,,
Cassette Tensabrrier standard 3 arrivee 1 depart,53577-AAB,TRUE,STD,1,05968-000,04837,Standard,1,,03466,x,,,x,,,,,,,,,,,,,x,x,,x,,,,,,,,,,,,,,,,CAS,Standard Cassette,std,,,00982-33S,,,1,TRUE,,,,,2.3,,,,,0
Cassette Tensabrrier standard 3 arrivee 1 depart,53577-AAA,TRUE,STD,1,05968-000,04837,Standard,1,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAS,Standard Cassette,std,,,00982-33S,,007,2,FALSE,,,,,2.3,,,,,0
Cassette Tensabrrier standard max 3 arrivee 1 depart,53578-AAB,TRUE,MAX,2,05968-000,08136,Max,1,,03466,x,,x,x,,,,,,,,,,,,,x,,x,,,x,,,,,,,,,,,x,,x,CAS,Max Cassette,std,,,00982-33S,,,3,TRUE,3.45,,,,3.65,,,,,0
Cassette Tensabrrier imprimee max 3 arrivee 1 depart,53578-AAA,TRUE,MAX,2,05968-000,08136,Max,1,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAS,Max Cassette,std,,,00982-33S,,007,4,FALSE,3.45,,,,3.65,,,,,0
ergot magnetic standard cassette plaine,54173-000,,STD,1,,04837,Standard,1,,03466,x,,,x,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,CAS-MAG,Magnetic Standard Cassette.,std,,,,,,5,TRUE,,,,,,,,,,
ergot magnetique max cassette plaine,54174-000,,MAX,2,,08136,Magnetic,1,,03466,x,,,x,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,x,,,,CAS-MAG,Magnetic Max Cassette,std,,,,,,6,TRUE,3.45,,,,,,,,,
ergot magnetique cassette factice,52451-000,,RCV,,,,End Post,,,03466,x,,,x,,,,,,,,,,,,,x,,,,,,,x,,,,x,,,,x,,,,CAS-MAG-RCV,Magnetic Dummy Cassette,std,,,,,,7,TRUE,,,,,,,,,,
tensalarm 3 arrivee 1 depart,55813-33S,,STD,1,,04837,Alarm,1,,03466,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,CAS,Tensalarm Standard Cassette,std,,20,,,,8,TRUE,,,,,,,,,,
tensalarm 3 arrivee 1 depart + alarme,55818-33S,,STD,1,,04837,Alarm,1,,03466,,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,CAS,Tensalarm Standard Cassette,std,55490-000,20,,,,9,TRUE,,,,,,,,,,
