id,colourcode,base_outdoor,base_expressions,cover_expressions,base_sport,base_surface_mount,base_heavyduty,base_rollabase,base_stowaway_feet,base_universal,cover_universal,base_basics,cover_basics,base_basicspop,cover_basicspop,base_magnetic,base_qmbasics,cover_qmbasics,base_qmuniversal,cover_qmuniversal,base_universal887,cover_universal887,base_universal888,cover_universal888,base_universalheavy,cover_universalheavy,base_basicsheavy,cover_basicsheavy,cover_magnetic,base_magneticlocated,cover_magneticlocated,comment_string,base_universalmk2,base_basicsmk2,base_universalheavymk2,base_basicsheavymk2,base_qmuniversalmk2,base_universal888mk2,cover_universalmk2,cover_basicsmk2,cover_universalheavymk2,cover_basicsheavymk2,cover_qmuniversalmk2,cover_universal888mk2
Blanc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blank,,,,,,,,,,,,
Bronze antique (AB),AB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Antique Bronze (AB),,,,,,,,,,,,
Satin Noir (33S),33S,,x,x,x,,x,,x,,x,,,,,,,,,x,,,,,,x,,,x,,x,Satin Black (33S),,,,,,,x,,x,,x,
Noir (33),33,,,,,,,,,x,,x,x,x,x,,x,x,x,,x,x,x,x,x,,x,x,,,,Black (33),x,x,x,x,x,x,x,x,x,x,x,x
Cuir Noir (553),553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black Leatherette (553),,,,,,,,,,,,
Bleu Ral5002 (5002),5002,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,Blue Ral5002 (5002),,,,,,,,,,,,
Bleu Ral5017 (5017),5017,,,,,,,,,,x,,,,,,,,,x,,,,,,x,,,,,,Blue Ral5017 (5017),,,,,,,,,,,,
Marque (Gris),12,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Branded (Grey),,,,,,,,,,,,
Effet laiton (15),15,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,Brass Effect (15),,,,,,,,,,,,
Brun Ral8017 (8017),8017,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,Brown Ral8017 (8017),,,,,,,,,,,,
Brun Ral8014 (8014),8014,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,Brown Ral8014 (8014),,,,,,,,,,,,
Brun Ral8001 (8001),8001,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,Brown Ral8001 (8001),,,,,,,,,,,,
