id,colorCode,Advance_889_post,Advance_889,Advance_889_dual,popular_post,stow_post,display_post,alarm_post,alarm_dual,heavyduty_post,heavyduty_screwfix_post,heavyduty_dual,Slimline_890,wide_cassette_post,wide_cassette_dual,heavyduty150_screwfix_post,heavyduty_dual_screwfix_post,qmpop_post,qmbuild_post,qmassy_post,utility887_post,safety888_post,slimline_890_build,tensaclear_post,outdoortwin_post,heavydutybayonettwin_post,heavydutyscrewfixtwin_post,qmaticheavydutybayonettwin_post,Advance_889_Magnetic_post,680_post,telescopic_post,rotateheadmain_post,rotateheadsub_post,safety888sub_post,rotateheadassy_post,comment_string
Anthracite Ral7016 (7016),7016,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anthracite Ral7016 (7016)
Noir (33S/NC),33S/NC,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,Black (33S/NC)
Bleu Ral5002 (5002),5002,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blue Ral5002 (5002)
Bleu Ral5013 (23),23,,x,x,,,,,,,,,,x,,,,,x,,,,,,,,,,,,,,,,,Blue Ral5013 (23)
Brun Ral8014 (8014),8014,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brown Ral8014 (8014)
Brushed/Grained to Grit 240 (240),240,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brushed/Grained to Grit 240 (240)
Capri bleu Ral5019 (5019),5019,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Capri Blue Ral5019 (5019)
Gris anthracite (80),80,,x,x,,,,,,,,,,x,x,,,,x,,,,x,,,,,,,,,,,,,Charcoal (80)
Cuivre Brun Ral8004 (8004),8004,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Copper Brown Ral8004 (8004)
Blanc Ral9001 (9001),9001,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cream Ral9001 (9001)
Cromadex Iridon M35 O31 (585),585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cromadex Iridon-M35-O31 (585)
Dove Gray (512),512,,x,x,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,Dove Grey (512)
Gris epol9927 (9927),9927,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epol Grey (9927)
Gris Ral7045 (7045),7045,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grey Ral7045 (7045)
Gris fonce metallique Ral9007 (9007),9007,,x,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,Grey Ral9007 (9007)
Gris martelle (73),73,,x,x,,,x,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,,Hammer Grey (73)
Gloss Noir (9005),9005,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,High Gloss Black (9005)
Vert clair Ral6018 (6018),6018,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Light Green Ral6018 (6018)
Ecrou brun Ral8011 (8011),8011,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nut Brown Ral8011 (8011)
Orange Ral2004 (2004),2004,,x,x,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,Orange Ral2004 (2004)
Pantone 425c (425C),425C,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pantone 425c (80% Grey) (425C)
Pewter Nickel (PN),PN,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pewter Nickel (PN)
Rose PMS233 (PMS233),PMS233,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pink (PMS233)
Pink PMS233 (233),233,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pink PMS233 (233)
Laiton poli (2P),2P,,x,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,Polished Brass (2P)
Chrome poli (1P),1P,,x,x,,,x,x,,,,,x,x,x,,,,x,x,,,,,,,,,x,,,,,,x,Polished Chrome (1P)
Acier poli (3P),3P,,x,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,Polished Stainless (3P)
Pourpre Ral4007 (4007),4007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Purple Ral4007 (4007)
Non-marque (Gris),000,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Raw (000)
Rouge Ral3002 (21),21,,x,x,,,,,,,,,,x,,,,,x,,x,x,x,,,,,,,,,,,,,Red Ral3002 (21)
Rouge Ral3020 (3020),3020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Red Ral3020 (3020)
Vin Rouge Ral3005 (3005),3005,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Red Wine Ral3005 (3005)
Rouge rubis Ral3003 (3003),3003,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ruby Red Ral3003 (3003)
Satin Noir (33S),33S,,x,x,,,x,x,,,,,,x,x,,,x,x,,,,x,,,,,,,,x,,,,,Satin Black (33S)
Satin Brass (2S),2S,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,Satin Brass (2S)
Chrome satine (1S),1S,,x,x,,,,x,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,Satin Chrome (1S)
Acier satine (3S),3S,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,Satin Stainless (3S)
Argent FW104E (91),91,,x,x,,,,x,,,,,,x,x,,,,,,,,x,,,,,,,,,,,,,Silver FW104E (91)
Argent Ral9006 (9006),9006,,x,x,,,,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,Silver Ral9006 (9006)
Veine d argent (SV),SV,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Silver Vein (SV)
Gris ardoise Ral7015 (7015),7015,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Slate Grey Ral7015 (7015)
Stainless 810-M Anthracite Metallic effect (810-M),810-M,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stainless 810-M Anthracite Metallic effect (810-M)
Acier inoxydable brosse (3B),3B,,x,x,,,,x,,,,,,x,x,,,,,x,,,x,,,,,,,x,,x,,,x,Stainless Steel (3B)
Stainless Steel Ral6012 (28S),28S,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stainless Steel Ral6012 (28S)
Bleu turc Ral5018 (5018),5018,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Turkish Blue Ral5018 (5018)
Blanc Ral9003 (9003),9003,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,White Ral9003 (9003)
Blanc Ral9010 (32),32,,x,x,,,,x,,,,,,x,,,,,x,,,,,,,,,,,,,,,,,White Ral9010 (32)
Fenetre Gris Ral7040 (7040),7040,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Window Grey Ral7040 (7040)
Jaune Ral1004 (35),35,,x,x,,,,,,,,,,,,,,,x,,x,x,x,,,,,,,,,,,,,Yellow Ral1004 Smooth (35)
Gris Ral7039 (7039),7039,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,Grey Ral7039 (7039)
Bronze antique (AB),AB,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,Antique Bronze (AB)
Satin Noir (33S),33S,,,,x,x,,,,x,x,x,,,,x,x,,,x,,,,,,,x,,,,,,x,x,,Black (33S)
Clear,100,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,Clear
