id,cass_assy,prewind_option,web_type,web_length,wedge_partnum,web_pt_search,fg_filter,tape_end_range,topcap_label_denial,topcap_label_part_prefix,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,build_cell,cassfg_num,cycle_time_selector,fg_desc_type,padprint_smartcode_suffix,smart_cass_id,topcap_included,deny_wedge,NightView_max_length_m,comment_string,web_length_group1,web_length_group2,web_length_group3,web_length_group4,web_length_group5,suspend_selection
Cassette Midi Sangle Extra Large,54102-000,,WDE,5,02918-33S,03893,Wide webbing 150mm,5,,03466,,,,x,,,,,,,,,,,,WALLM,,std,,,41,,,,Wide Webbing Midi,2.00,,,,,
Cassette Tensabarrier 4 voies Standard Sangle unie,53577-AAB,TRUE,STD,1,05968-000,04837,Standard,1,,03466,x,,,,x,,,,x,x,,,,,,CASS,CAS,std,,,1,TRUE,,,Tensabarrier 4 Way Std Plain,7.60,,,,,
Cassette Tensabarrier 4 voies Standard Sangle personnalisee,53577-AAA,TRUE,STD,1,05968-000,04837,Standard,1,TRUE,,,,,,,,,,,,,,,,,CASS,CAS,std,,007,2,,,,Tensabarrier 4 Way Std Plain,7.60,,,,,
Cassette Tensabarrier  4 voies Max Standard Sangle unie,53578-AAB,TRUE,MAX,2,05968-000,08136,Max,2,,03466,x,,,,x,,,,x,,,,,,,CASS,CAS,std,,,3,TRUE,,3.45,Tensabarrier 4 Way Max Plain,3.65,,,,,
Cassette Tensabarrier 4 voies Max Standard Sangle personnalisee,53578-AAA,TRUE,MAX,2,05968-000,08136,Max,2,TRUE,,,,,,,,,,,,,,,,,CASS,CAS,std,,007,4,,,3.45,Tensabarrier 4 Way Max Tensator Printed,3.65,,,,,
Interieur Midi,53737-000,,STD,3,05968-000,04837,,3,,03466,,x,,,,,,,,,,,,,,WALLM,,std,,,39,,,,Midi interior,4.60,,,,,
Interieur Maxi,50061-000,,STD,4,03669-33S,04837,,4,,03466,,,x,,,,,,,,,,,,,WALLM,,std,,,40,,,8.50,Maxi interior,7.70,9.00,,,,
Interieur Midi - Sangle Extra large,53737-000,,MAX,,05968-000,08136,,3,,03466,,,,,,,,,,,,,,,,WALLM,,std,,,39,,,,Midi interior Max Webbing,7.70,9.00,,,,
Aucune cassette,,,,,,,,,,03466,,,,,,,,,,,,,,,,,,,,,0,,,,No Cassette,,,,,,
4 voies Cassette factice Tensator Imprimee,54043-AAC,,RCV,,,,,,TRUE,,,,,,x,,,,,,,,,,,WALLM,,std,,007,25,,,,4 Way Dummy Tensator Printed,,,,,,
4 voies Cassette factice Unie,54043-AAD,,RCV,,,,,,,03466,,,,,x,,,,,,,,,,,WALLM,,std,,,26,TRUE,,,4 Way Dummy Plain,,,,,,
Wallmount XL,,,STD,10,,04837,,9,,,,,,,,,,x,,,,,,,,WALLM,,std,,,50,,TRUE,,Wallmount XL,,,,,,
Interieur Midi (Recess),53737-000,,STD,11,05968-000,04837,,10,TRUE,,,,,,,,,,,,x,,,,,WALLM,,std,,,,,,,Midi interior (Recess),,,,,,
