id,part_num,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,STD,MAX,WDE,comment_string,zero_wallclipupcharge,896_wallclipupcharge,smartcode_ref
Fixation murale a visser - Zinc - Pour embout verrouilleur,898,x,,,,,,,,,,x,x,,Standard Zinc,0,0,Z
Fixation murale sur verre - Plastique - Pour embout verrouilleur,53671-000,x,,,,,,,,,,x,x,,Glass Mount Plastic Wall Clip,,,G
Fixation murale - Acier - Pour embout magnetique,00682-000,,x,,,,,,,,,x,x,,Magnetic Wall Plate,,,M
Aucune,,x,x,,,x,,,,,,x,x,,no,,,X
Fixation murale - Plastique - Pour embout verrouilleur extra large,898P,,,x,,,,,,,,,,x,Wide Plastic,,,W
Fixation murale 1 sens,04575-000,,,,x,,,,,,,x,,,One Way Loop Wall Plate,,,O
Fixation murale sur verre - Pour embout magnetique,GLASSMAGCLIP,,x,,,,,,,,,,,,Glass Mount Magnetic Wall Plate,,,MG
Fixation murale - Pour embout magnetique - x2,00682-000,,,,,x,,,,,,,,x,Magnetic Wall Plate x2,,,M
Aucune,,,,x,,,x,,,,,,,x,no,,,X
Vice de blocage,,,,,,,x,,,,,,,,,,,L
