id,fg_desc,commodity_code,std_op_time_min,alt_op_time_min,pick_op_time_min,std_warranty,tensabright,intrastat_unitweightkg
TMG-SM1000-LH-1P,Left Hand Mechanical Gate (Polished Chrome),8479899790,,,,,,8
TAG1000-1P,Electrical Gate (Polished Chrome),8479899790,45,,,,,12
CBN1IP,Canvas-Indoor-Plain Banner,5806329000,,,,,,1
CBN1IS,Canvas-Indoor-Single Sided Print Banner,5806329000,,,,,,1
CBN1ID,Canvas-Indoor-Double Sided Print Banner,5806329000,,,,,,1
CBN3IP,Indoor 1330 x 871mm Plain colour Mesh banner with top pockets/bottom eyelets,5806329000,,,,,,1
CBN3IS,Mesh-Indoor-Single Sided Print Banner,5806329000,,,,,,1
CBN3ID,Indoor 1330x871mm Mesh banner pocket & eyelets with Double sided print bespoke text/graphic,5806329000,,,,,,1
CBN2IP,PVC-Indoor-Plain Banner,5806329000,,,,,,1
CBN2IS,PVC-Indoor-Single Sided Print Banner,5806329000,,,,,,1
CBN2ID,Indoor 1330x871mm PVC banner pocket & eyelets with Double sided print bespoke text/graphic,5806329000,,,,,,1
CBN2OP,PVC-Outdoor-Plain Banner,5806329000,,,,,,1
CBN2OS,PVC-Outdoor-Single Sided Print Banner,5806329000,,,,,,1
CBN2OD,Outdoor 1330x817mm PVC banner with pockets with Double sided print bespoke text/graphic,5806329000,,,,,,1
CBN3OP,Mesh-Outdoor-Plain Banner,5806329000,,,,,,1
CBN3OS,Outdoor 1330 x817mm Mesh banner with  pockets Single sided print plain colour on reverse,5806329000,,,,,,1
CBN3OD,Mesh-Outdoor-Double Sided Print Banner,5806329000,,,,,,1
CBN1OP,Canvas-Outdoor-Plain Banner,5806329000,,,,,,1
CBN1OS,Canvas-Outdoor-Single Sided Print Banner,5806329000,,,,,,1
CBN1OD,Outdoor 1330x817mm Canvas banner with pockets Double sided print with bespoke text/graphic,5806329000,,,,,,1
CBP3S,Stainless Steel Banner Post,7326909890,8,,,,,11
CBP1P,Polished Chrome Banner Post,7326909890,8,,,,,11
CBR3S,Outdoor cafe banner bar assembly St/St,7326909890,,,,,,1
CBR1P,Indoor cafe banner bar assembly polished chrome,7326909890,,,,,,1
FRSFG,Fixed Rail System,7326909890,,,,,,24
MA18.,Merchandising display tray 150mm steel,7206900000,,,,,,2
MA17.,Merchandising display tray 225mm steel,7206900000,,,,,,2
MA16.,Merchandising display tray 300mm steel,7206900000,,,,,,3
MA41.,Merchandising half shelf 200mm metal -  plastic riser -POS,7206900000,,,,,,4
MA3.,Merchandising display basket wire,7206900000,,,,,,1
MA46.,Merchandising angled display basket wire,7206900000,,,,,,4
MA5,Merchandising display prong 250mm wire,7206900000,,,,,,1
MA32,Merchandising display prong 150mm wire,7206900000,,,,,,1
MA31,Merchandising display hook 150mm wire,7206900000,,,,,,1
MA4,Merchandising display hook 250mm wire,7206900000,,,,,,1
PA12,Merchandising bowl with POS,3908900090,4,,4,,,1
892,Plastic Recess Unit,3908900090,3,,,,Plastic Recess Unit with Tensabright,1
892AL,Alarmed Recess Unit,3908900090,3,,,,Alarmed Recess Unit with Tensabright,1
RECOIL1,Recoils,7326909890,0.5,,,,,1
310-1P,Rope & Post Classic post Traditional Base,7326909890,,,,,,10
310E-2P/87/OAKINFILL,Classic post polished Brass with Oak infill metalic expresions loader,7326909890,,,,,,10
310T-1P,Classic Post Traditional Polished Chrome,7326909890,,,,,,10
310T-1S,Classic Post Traditional Satin Chrome,7326909890,,,,,,10
310T-2P,Classic post Traditional base polished brass,7326909890,,,,,,10
310T-2S,Classic Post Traditional Satin Brass,7326909890,,,,,,10
310U-1P,Classic Post Universal Polished Chrome,7326909890,,,,,,10
310U-1S,Classic Post Universal Satin Chrome,7326909890,,,,,,10
310U-2P,Classic Post Universal Polished Brass,7326909890,,,,,,10
310U-2S,Classic Post Universal Satin Brass,7326909890,,,,,,10
310U-33S,Classic post colorific Black,7326909890,,,,,,10
310U-D/L-1P,Classic post double line polished chrome with cut loop,7326909890,,,,,,11
312E-2P/87/OAKINFILL,Sphere post polished brass oak infill light metallic expressions loader,7326909890,,,,,,12
312E-2P/OAKINFILL,Sphere post polished brass oak infill light metallic expressions loader,7326909890,,,,,,12
312T-1P,Sphere Post Traditional Polished Chrome,7326909890,,,,,,10
312T-1S,Sphere Post Traditional Satin Chrome,7326909890,,,,,,10
312T-2P,Sphere Post Traditional base polished Brass,7326909890,,,,,,10
312T-2S,Sphere Post Traditional base Satin Brass,7326909890,,,,,,10
312U-1P,Sphere Post Universal Polished Chrome,7326909890,,,,,,10
312U-1S,Sphere Post Universal Satin Chrome,7326909890,,,,,,10
312U-2P,Sphere Post Universal Polished Brass,7326909890,,,,,,10
312U-2S,Sphere Post Universal Satin Brass,7326909890,,,,,,10
314T-1P,Contemporary Post Traditional Polished Chrome,7326909890,,,,,,10
314T-1S,Contemporary Post Traditional Satin Chrome,7326909890,,,,,,10
314T-2P,Contemporary Post Traditional Polished Brass,7326909890,,,,,,10
