id,colourcode,base_universalmk2,cover_universalmk2,base_universalheavymk2,cover_universalheavymk2,base_basicsmk2,cover_basicsmk2,base_basicsheavymk2,cover_basicsheavymk2,base_outdoor,base_expressions,cover_expressions,base_sport,base_surface_mount,base_heavyduty,base_rollabase,base_stowaway_feet,base_mk2basicspop,cover_mk2basicspop,base_magnetic,base_mk2universal887,cover_mk2universal887,base_mk2universal888,cover_mk2universal888,cover_magnetic,base_magneticlocated,cover_magneticlocated,base_traditional,cover_traditional,std_basecoverfinishupcharge
Aer Lingus TLP-C609-S (AERL),AERL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Weather (AW),AW,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,
Anthracite Ral7016 (7016),7016,,,,,,,,,,,,,,,,,,,,,,,,x,,x,,,
Antique Bronze (AB),AB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antique Copper (10),10,,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,70
As Supplied,000,,,,,,,,,,,,,x,,x,,,,,,,,,,,,,,
Black (33),33,x,,x,,x,x,x,,,,,,,,,,x,x,,x,x,x,x,,,,x,,
Black Grey Ral7021 (7021),7021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Leatherette (553),553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Ral5002 (5002),5002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Ral5003 (5003),5003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Ral5013 (23),23,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,
Blue Ral5017 (5017),5017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Branded (Grey),12,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,
Brass Effect (15),15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brown Ral8001 (8001),8001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brown Ral8014 (8014),8014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brown Ral8017 (8017),8017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brown Ral8040 (8040),8040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brushed Stainless Lacquer (LAC),LAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brushed Stainless Steel (3B),3B,,,,,,,,,,,,,,,,,,,,,,,,x,,x,,,
Capri blue Ral5019 (5019),5019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charcoal Grey (80),80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chrome Silver (586),586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copper Brown Ral8004 (8004),8004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cromadex Iridon M35 O31 (585),585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dove Grey (512),512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
English Antique (6X),6X,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,x,70
Gloss Black (9005),9005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gold Expoxy Hammerite (EP90031),EP90031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
