base_type,base_part_no,base_finish,cover_part_no,base_kit_part_no,fg_base_filter,base_protector,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,r41,smartcode_entry,smart_basefinish_override,smart_basecover_aspostfinish,smart_basecover_override,smart_baseprotector_override,note_ref,base_comment,std_baseupcharge,suspend_selection
No Base,,,,,nobase,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,
As Supplied,,,,,AsSupplied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,,,,,,Universal,,
MK2 Universal Std U,11795,universalmk2,11797,52901-33S,universal,TRUE,x,,x,x,,,x,,,,,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,U,,,,,,Universal,74,
MK2 Basics B,11795,basicsmk2,11890,52901-33S,basics,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,Basics,,
MK2 Universal Heavy UH,11796,universalheavymk2,11797,52901-33S,universalheavy,,x,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,UH,,,,,,Universal Heavy,74,
MK2 Basic Heavy BH,11796,basicsheavymk2,11890,52901-33S,basicsheavy,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BH,,,,,,Basics Heavy,,
MK2 Universal Std with Basics Cover,11795,universalmk2,11890,52901-33S,universal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,Basics,,
MK2 Universal Std (Weight Only) U,11795,universalmk2,,52901-33S,universal,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,,,,,,Universal,,
MK2 Universal Heavy (Weight Only) U,11796,universalheavymk2,,52901-33S,universalheavy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UH,,,,,,Universal Heavy,,
Moulded Magnetic Base,06615,magnetic,06614,56127-CONFIG,magnetic,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAG,,,,,,Magnetic,,
Locating Moulded Magnetic Base,06615,magneticlocated,06614,56125-CONFIG,magnetic,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAG,,,,,,Magnetic,,
Mini Floor Socket (Indoor),,surface_mount,,50441-CONFIG,Floor Socket,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,If Rockite or Socket Keys are required please enter them on separate sales lines.,Mini Removable Socket,,
Mini Floor Socket (Outdoor),,surface_mount,,54299-000,Floor Socket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,If Rockite or Socket Keys are required please enter them on separate sales lines.,Mini Removable Socket,,
Surface Mount,,surface_mount,,50408-CONFIG,Surface Mount,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,Surface Fixed,,
Surface Mount Brushed Stainless (3B),,surface_mount,,50408-3B,Surface Mount,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,Surface Fixed,,
Traditional T,810001,traditional,760001,,traditional,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,Traditional,,
