id,colorCode,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,std_postfinishupcharge
Aer Lingus TLP-C609-S (AERL),AERL,,,,,,,,,,,,,,,,,,,,,
Anthracite Ral7016 (7016),7016,,,,,,,,,,,,,,,,,,,,,
Antique Bronze (AB),AB,,,,,,,,,,,,,,,,,,,,,
Antique Copper (10),10,x,,x,,,,x,,,,,,,,,,,,,,70
Beige (100),100,x,,x,,,,x,,,,,,,,,,,,,,
Black (33),33,,,,,,,,,,,,,,,,,,,,,
Black (33S),33S,x,,x,,,,,,,,,,,,,,,,,,
Black (33S/NC),33S/NC,,,,,,,,,,,,,,,,,,,,,
Black Grey Ral7021 (7021),7021,,,,,,,,,,,,,,,,,,,,,
Black Wrinkle (89),89,x,,x,,,,x,,,,,,,,,,,,,,
Blue (23),23,,,,,,,x,,,,,,,,,,,,,,
Blue Ral5002 (5002),5002,,,,,,,,,,,,,,,,,,,,,
Blue Ral5003 (5003),5003,,,,,,,,,,,,,,,,,,,,,
Blue Ral5013 (23),23,x,,x,,,,,,,,,,,,,,,,,,
Blue Ral5017 (5017),5017,,,,,,,,,,,,,,,,,,,,,
Brown (46),46,x,,x,,,,x,,,,,,,,,,,,,,
Brown Ral8014 (8014),8014,,,,,,,,,,,,,,,,,,,,,
Brushed Stainless Lacquer (LAC),LAC,,,,,,,,,,,,,,,,,,,,,
Brushed Stainless Steel (3B),3B,,,,,,,,,,,,,,,,,,,,,
Brushed Stainless Steel grit level 150 (3BMK2),3BMK2,,,,,,,,,,,,,,,,,,,,,
Brushed/Grained to Grit 240 (240),240,,,,,,,,,,,,,,,,,,,,,
Burgundy (40),40,x,,x,,,,x,,,,,,,,,,,,,,
Capri Blue Ral5019 (5019),5019,,,,,,,,,,,,,,,,,,,,,
Charcoal (80),80,,,,,,,,,,,,,,,,,,,,,
Clear,100,,,,,,,,,,,,,,,,,,,,,
Copper Brown Ral8004 (8004),8004,,,,,,,,,,,,,,,,,,,,,
Copper Vein (66),66,x,,x,,,,x,,,,,,,,,,,,,,
Cream Ral9001 (9001),9001,,,,,,,,,,,,,,,,,,,,,
Cromadex Iridon-M35-O31 (585),585,,,,,,,,,,,,,,,,,,,,,
Dove Grey (92),92,x,,x,,,,x,,,,,,,,,,,,,,
English Antique (6X),6X,x,x,x,,,,x,,,,,,,,,,,,,,70
Epol Grey (9927),9927,,,,,,,,,,,,,,,,,,,,,
Gloss Black (33G),33G,x,,x,,,x,x,,,,,,,,,,,,,,
Gold Ral1036 (1036),1036,,,,,,,,,,,,,,,,,,,,,
Gold Vein (65),65,x,,x,,,,x,,,,,,,,,,,,,,
Granite Grey Ral7026 (7026),7026,,,,,,,,,,,,,,,,,,,,,
Green Ral6028 (28),28,x,,x,,,,x,,,,,,,,,,,,,,
Grey Brown Ral8019 (8019),8019,,,,,,,,,,,,,,,,,,,,,
Grey Ral7035 Matt (7035),7035,,,,,,,,,,,,,,,,,,,,,
