id,seg2,seg3,seg4,seg5,seg6,seg7,seg8,seg9,seg10,seg11,seg12
,Base Style + Base Finish,Base Cover Finish,Post Finish,Post Head Type,Post Head Finish,Floating Ring,not_applicable,not_applicable,not_applicable,Base Protector,not_applicable
csv_columnref,_baseupcharge,_basecoverfinishupcharge,_postfinishupcharge,_postheadupcharge,_postheadfinishupcharge,_floatingringupcharge,,,,_baseprotectorupcharge,
310U,std,FALSE,std,FALSE,FALSE,std,FALSE,FALSE,FALSE,std,FALSE
310F,std,FALSE,std,FALSE,FALSE,std,FALSE,FALSE,FALSE,std,FALSE
310R,std,FALSE,std,FALSE,FALSE,std,FALSE,FALSE,FALSE,std,FALSE
310T,std,FALSE,std,FALSE,FALSE,std,FALSE,FALSE,FALSE,std,FALSE
312U,std,FALSE,std,FALSE,FALSE,std,FALSE,FALSE,FALSE,std,FALSE
312F,std,FALSE,std,FALSE,FALSE,std,FALSE,FALSE,FALSE,std,FALSE
312R,std,FALSE,std,FALSE,FALSE,std,FALSE,FALSE,FALSE,std,FALSE
312T,std,FALSE,std,FALSE,FALSE,std,FALSE,FALSE,FALSE,std,FALSE
314U,std,FALSE,std,FALSE,FALSE,std,FALSE,FALSE,FALSE,std,FALSE
314F,std,FALSE,std,FALSE,FALSE,std,FALSE,FALSE,FALSE,std,FALSE
314R,std,FALSE,std,FALSE,FALSE,std,FALSE,FALSE,FALSE,std,FALSE
314T,std,FALSE,std,FALSE,FALSE,std,FALSE,FALSE,FALSE,std,FALSE
300,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
303,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
307,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
309,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
