id,cassette_assy,prewind_option,web_type,web_length,wedge_partnum,web_pt_search,fg_filter,tape_end_range,topcap_label_denial,topcap_label_part_prefix,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,cassfg_num,weblength_fgnum_addition,comment_string,cycle_time_selector,tensalarm_resetfob_partnum,alrmop_time,dustcover_option,padprint_smartcode_suffix,smart_cass_id,NightView_max_length,Standard_max_length,fg_desc_type,oper_code,fromstock_oper_code,web_length_group1,web_length_group2,web_length_group3,web_length_group4,web_length_group5,base_listprice,suspend_selection
No Cassette,,,,,,,No Cassette,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
Tensabarrier 4 Way Std Plain,53577-AAB,TRUE,STD,1,,04837,Standard,1,,03466,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADV144,,Standard Cassette,std,,,,,1,,,,TBCBuild,PICKING,7.60,,,,,75.00,
Tensabarrier 4 Way Std Tensator Printed,53577-AAA,TRUE,STD,1,,04837,Standard,1,,03466,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADV144,,Standard Cassette,std,,,,007,2,,,,TBCBuild,PICKING,7.60,,,,,75.00,
Tensabarrier 4 Way Max Plain,53578-AAB,TRUE,MAX,2,,08136,Max,1,,03466,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAX144,,Max Cassette,std,,,,,3,11.32,,,TBCBuild,PICKING,13.00,,,,,125.00,
Tensabarrier 4 Way Max Tensator Printed,53578-AAA,TRUE,MAX,2,,08136,Max,1,,03466,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAX144,,Max Cassette,std,,,,007,4,11.32,,,TBCBuild,PICKING,13.00,,,,,125.00,
Magnetic Spline Standard Cassette Plain,54173-000,,STD,1,,04837,Standard,1,,03466,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAS-MAG,,Magnetic Standard Cassette.,std,,,,,5,,,,TBCBuild,PICKING,,,,,,,
Magnetic Spline Max Cassette  Plain,54174-000,,MAX,2,,08136,Magnetic,1,,03466,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAS-MAG,,Magnetic Max Cassette,std,,,,,6,,,,TBCBuild,PICKING,,,,,,,
Magnetic dummy cassette,52451-000,,RCV,,,,End Post,,,03466,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAS-MAG-RCV,,Magnetic Dummy Cassette,std,,,,,7,,,,TBCBuild,PICKING,,,,,,,
Dualline 4way,54014-000,,STD,1,,04837,Standard,1,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MDL144,,Dualline Standard Cassette,std,,,,,16,,,,TBCBuild,PICKING,,,,,,,
Dualline Max 4way,54082-000,,MAX,2,,08136,Max,1,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MDL144,,Dualline Max Cassette,std,,,,,17,,,,TBCBuild,PICKING,,,,,,,
Dualline end post,58578-33S,,RCV,,,,End Post,1,TRUE,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CASD-RCV,,Dualline Dummy Cassette,std,,,,,18,,,,TBCBuild,PICKING,,,,,,,
Dualline Heavyduty 4way,59235-33S,,STD,1,,04837,Standard,1,,,,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CASD-ZINC,,Dualline HeavyDuty Standard Cassette,std,,,,,19,,,,TBCBuild,PICKING,,,,,,,
Dualline Heavyduty Max 4way,50478-33S,,MAX,2,,08136,Max,1,TRUE,,,,,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CASD-ZINC,,Dualline HeavyDuty Max Cassette,std,,,,,20,,,,TBCBuild,PICKING,,,,,,,
Dualline Heavyduty end post,69235-33S,,RCV,,,,End Post,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CASD-ZINC-RCV,,Dualline HeavyDuty Dummy Cassette,std,,,,,21,,,,TBCBuild,PICKING,,,,,,,
Dualline Magnetic Cassette Std,54175-AAB,,STD,1,,04837,Standard,1,TRUE,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CASD-MAG,,Dualline Magnetic Standard Cassette,std,,,,,22,,,,TBCBuild,PICKING,,,,,,,
Universal Heavyduty 4way,54017-000,,HDY,1,,04837,Standard,1,,03466,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAS-ZINC,,HeavyDuty Standard Cassette,std,,,,,23,,,,TBCBuild,PICKING,,,,,,,
Universal Heavyduty Max 4way,54532-000,,MAX,2,,08136,Max,1,,03466,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAS-ZINC,,HeavyDuty Max Cassette,std,,,,,24,,,,TBCBuild,PICKING,,,,,,,
4 Way Dummy Tensator Printed,54043-AAC,,RCV,,,,End Post,,TRUE,03466,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADV144X,,Dummy Cassette,std,,,,007,25,,,,TBCBuild,PICKING,,,,,,55.00,
4 Way Dummy Plain,54043-AAD,,RCV,,,,End Post,,,03466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADV144X,,Dummy Cassette,std,,,,,26,,,,TBCBuild,PICKING,,,,,,55.00,
4 Way HeavyDuty Dummy Plain,54048-AAA,,RCV,,,,End Post,,,03466,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAS-ZINC-RCV,,HeavyDuty Dummy Cassette,std,,,,,27,,,,TBCBuild,PICKING,,,,,,55.00,
Wide webbing 150mm Printed Tensator,54159-AAC,,WDE,3,,03893,Wide webbing 150mm,2,,03466,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADW144,,Plus Cassette,std,,,,007,28,,,,TBCBuild,PICKING,,,,,,155.00,
Wide Webbing 150mm dummy plain,54160-AAD,,RCV,,,,End Post,,,03466,,,,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADW144X,,Plus Dummy Cassette,std,,,,,29,,,,TBCBuild,PICKING,,,,,,115.00,
Wide webbing 150mm plain,54159-AAD,,WDE,3,,03893,Wide webbing 150mm,2,,03466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADW144,,Plus Cassette,std,,,,,30,,,,TBCBuild,PICKING,,,,,,155.00,
Wide Webbing 150mm Dualline,54211-000,,WDE,3,,03893,Wide webbing 150mm,2,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CASD-PLUS,,Plus Dualline Cassette,std,,,,,31,,,,TBCBuild,PICKING,,,,,,,
Wide Webbing 150mm dummy Tensator printed,54160-AAC,,RCV,,,,End Post,,TRUE,03466,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAS-PLUS-RCV,,Plus Dummy Cassette,std,,,,007,32,,,,TBCBuild,PICKING,,,,,,,
Wide Webbing 150mm Dualline end post,52208-000,,RCV,,,,End Post,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CASD-PLUS-RCV,,Plus Dualline Dummy Cassette,std,,,,,33,,,,TBCBuild,PICKING,,,,,,,
Zinc Standard 4way,54017-000,,STD,1,,04837,,4,,03466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAS-ZINC,,HeavyDuty Standard Cassette,std,,,,,23,,,,TBCBuild,PICKING,,,,,,,
Zinc Max 4way,54532-000,,MAX,4,,08136,,4,,03466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAS-ZINC,,HeavyDuty Max Cassette,std,,,,,24,,,,TBCBuild,PICKING,,,,,,,
Tensacone Orange Max Cassette 4 Way,53657-015,,MAX,5,,08136,,5,,03466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAS-TOPPER,,Tensacone Max Cassette (Orange),std,,,,,37,,,,TBCBuild,PICKING,,,,,,,
Tensacone Orange Dummy,54157-015,,RCV,,,,End Post,,,03466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAS-TOPPER,,Tensacone Dummy Cassette (Orange),std,,,,,38,,,,TBCBuild,PICKING,,,,,,,
Wallmount Midi Interior,53737-000,,STD,6,,04837,Standard,1,TRUE,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAS-WM,,Midi Interior,std,,,,,39,,,,TBCBuild,PICKING,,,,,,,
Wallmount Maxi Interior,50061-AAA,,STD,7,,04837,Standard,1,TRUE,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAS-WM,,Maxi Interior,std,,,,,40,27.89,,,TBCBuild,PICKING,,,,,,,
Wide Webbing Midi Interior,54102-000,,STD,3,,03893,Wide webbing 150mm,2,,03466,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAS-PLUS-WM,,Midi Plus Interior,std,,,,,41,,,,TBCBuild,PICKING,,,,,,,
