id,colourcode,base_universalmk2,cover_universalmk2,base_universalheavymk2,cover_universalheavymk2,base_basicsmk2,cover_basicsmk2,base_basicsheavymk2,cover_basicsheavymk2,base_outdoor,base_expressions,cover_expressions,base_sport,base_surface_mount,base_heavyduty,base_rollabase,base_stowaway_feet,base_mk2basicspop,cover_mk2basicspop,base_magnetic,base_mk2universal887,cover_mk2universal887,base_mk2universal888,cover_mk2universal888,cover_magnetic,base_magneticlocated,cover_magneticlocated,base_traditional,cover_traditional,base_universal,cover_universal,std_basecoverfinishupcharge,base_marineuniversalmk2,cover_marineuniversalmk2,base_marinebasicsmk2,cover_marinebasicsmk2
Aer Lingus TLP-C609-S (AERL),AERL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Weather (AW),AW,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,
Aluminium (ALUM),ALUM,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
Anthracite Ral7016 (7016),7016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antique Bronze (AB),AB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antique Copper (10),10,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,
As Supplied,000,,,,,,,,,,,,,x,,x,,,,,,,,,,,,,,,,,,,,
Beige (100),100,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black (33),33,x,,x,,x,x,x,x,,,,,,,,,x,x,,x,x,x,x,,,,x,,x,,,,,,x
Black Gloss (33G),33G,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,
Black Grey Ral7021 (7021),7021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Leatherette (553),553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Satin (33S),33S,,x,,x,,,,,,x,x,,,x,,,,,,,,,,x,,x,,x,,,,,,,
Black Satin Clear Coat (33S/NC),33S/NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Wrinkle (89),89,,x,,x,,,,,,,,,,,,,,,,,,,,x,,x,,x,,,,,,,
Blue (23),23,,,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x
Blue Ral5002 (5002),5002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Ral5003 (5003),5003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Ral5013 (23),23,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,
Blue Ral5017 (5017),5017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Branded (Grey),12,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,
Brass Effect (15),15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brown (46),46,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,
Brown Ral8001 (8001),8001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brown Ral8014 (8014),8014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
