base_type,base_part_no,base_finish,cover_part_no,base_kit_part_no,deny_slug_option,fg_base_filter,base_protector,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,r41,smartcode_entry,smart_basefinish_override,smart_basecover_aspostfinish,smart_basecover_override,smart_baseprotector_override,note_ref,base_comment,std_baseupcharge,suspend_selection
No Base,,,,,,nobase,,x,,,,,,,,,,,,,,,,,x,,,,,,x,,,,,,,,,,,,,,,,,,XXX,,,,,,No,,
As Supplied,,,,,,AsSupplied,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,,,,,,Universal,74,
As Supplied U,,,,,,AsSupplied,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,33,TRUE,,D,,Universal,74,
MK2 Universal Std U,11795,universalmk2,11797,52901-33S,,universal,TRUE,x,,x,,,,x,x,,,,x,,,,,,x,,,x,,,x,,,,,,,,,,,,,,,,,,U,,,,,,Universal,74,
MK2 Basics B,11795,basicsmk2,11890,52901-33S,,basics,,x,,x,,,x,x,,,,,x,,,,,,x,,,,,,x,,,,,,,,,,,,,,,,,,B,,,,,,Basics,,
MK2 Universal Heavy UH,11796,universalheavymk2,11797,52901-33S,,universalheavy,,x,,,,,,,x,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,UH,,,,,,Universal Heavy,74,
MK2 Basic Heavy BH,11796,basicsheavymk2,11890,52901-33S,,basicsheavy,,x,,,,,,,x,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,BH,,,,,,Basics Heavy,,
MK2 Universal Std Twin Pack (Weight Only) U,11795,universalmk2,,54593-33S,,universal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,,,,,,Universal,,
MK2 Universal Std with Basics Cover,11795,universalmk2,11890,52901-33S,,universal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,Basics,,
MK2 Universal Std 888,11795,universalmk2,11890,52901-33S,,universal888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,Basics,,
MK2 Universal Std (Weight Only) U,11795,universalmk2,,52901-33S,,universal,,,,,,,,,,,,,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,U,,,,,,Universal,,
MK2 Basics 887,11795,universalmk2,11890,52901-33S,,universal887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,Basics,,
MK2 Universal Heavy (Weight Only) U,11796,universalheavymk2,,52901-33S,,universalheavy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UH,,,,,,Universal Heavy,,
Rollabase,,rollabase,,53968-CONFIG,,Rollabase,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBI,,,,,,Rollabarrier,,
Rollabase (Black Wrinkle),,rollabase,,53968-89,,Rollabase,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBI,,,,,,Rollabarrier,,
Rollabase (Telescopic),,rollabase,,56167-CONFIG,,Rollabase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBI,,,,,,Rollabarrier,,
Outdoor,700499,outdoor,,,,Standard,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OUT,,,,,,Outdoor,,
Sport,01297,sport,,50125-33S,,Sport,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,,,,,Sport,,
Stowaway feet,,stowaway_feet,,56128-CONFG,,Standard,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STOW,,,,,,Stowaway,,
HeavyDuty Rubber,00434,heavyduty,,,,Standard,,,,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,,,,,HDY,,,,,,Heavyduty,,
HeavyDuty Rubber (Screwfix),00434,heavyduty,,,,utilityscrewfix,,,,,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,,,,HDYSC,,,,,,Heavyduty Screwfix,,
Moulded Magnetic Base,06615,magnetic,06614,56127-CONFIG,TRUE,magnetic,TRUE,,,x,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,MAG,,,,,,Magnetic,,
Locating Moulded Magnetic Base,06615,magneticlocated,06614,56125-CONFIG,TRUE,magnetic,TRUE,x,,x,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,MAG,,,,,,Magnetic,,
Traditional,810001,traditional,760001,,,traditional,,x,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,T,,,,,,Traditional,,
Mini Floor Socket (Indoor),,surface_mount,,50441-CONFIG,TRUE,Floor Socket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,If Rockite or Socket Keys are required please enter them on separate sales lines.,Mini Removable Socket,,
Mini Floor Socket (Outdoor),,surface_mount,,,TRUE,Floor Socket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,If Rockite or Socket Keys are required please enter them on separate sales lines.,Mini Removable Socket,,
Surface Mount,,surface_mount,,,TRUE,surface_mount,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,Surface Fixed,,
As Supplied B,,,,,,AsSupplied,,,,,,,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,B,33,TRUE,,D,,Basics,,
Universal Std U,810003,universal,760075,52901-33S,,universal,TRUE,x,,x,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,U,,,,,,Universal,,
Marine MK2 Universal Std U,11795,marineuniversalmk2,11797,52901-33S,,universal,TRUE,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,U,,,,,,Universal,74,
Marine MK2 Basics B,11795,marinebasicsmk2,11890,50002-CONFIG,,basics,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,B,,,,,,Basics,,
RB1 (Black Wrinkle) (89),,,,,,AsSupplied,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,RBI,89-89,,,,,Rollabarrier,,
As Supplied (Qway),,,,,,AsSupplied,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,33,TRUE,,D,,QWay,,
As Supplied (889PBHW),,,,,,AsSupplied,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,BH,33,,33,D,,Basics Heavy,,
Rollabase (Hammer Tone) (73),,rollabase,,52450-73,,Rollabase,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBI,,,,,,Rollabarrier,,
RB1 (HammerTone) (73),,,,,,AsSupplied,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,RBI,73-73,,,,,Rollabarrier,,
Rollabase (Black Wrinkle) (89),,rollabase,,52450-89,,Rollabase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBI,,,,,,Rollabarrier,,
