id,cass_assy,web_type,web_length,wedge_partnum,web_pt_search,fg_filter,tape_end_range,topcap_label_denial,topcap_label_part_prefix,addpart2_partnum,addpart2_qty,addpart2bom,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,r41,r42,r43,r44,r45,r46,r47,r48,cassfg_num,comment_string,cycle_time_selector,tensalarm_resetfob_partnum,alrmop_time,dustcover_option,fg_desc_type,padprint_smartcode_suffix,smart_cass_id,NightView_max_length,Standard_max_length,ThickPick_max_length,oper_code,web_length_group1,web_length_group2,web_length_group3,web_length_group4,web_length_group5,889T2_dualcassupcharge,suspend_selection
No Cassette,,,,,,No Cassette,,TRUE,,,,,x,x,x,x,x,x,x,x,,,,,,,,,x,,,,,,,,,,,,,,x,,x,,,,,,,,,,,,,,,,,No Cassette,,,,,,,0,,,,,,,,,,,
Tensabarrier 4 Way Std Plain,53577-AAB,STD,1,,04837,Standard,1,,03466,,,,x,,x,x,,x,x,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,ADV144,Standard Cassette,std,,,,,,1,7.80,8.20,8.20,TBCBuild,7.60,,,,,,
Tensabarrier 4 Way Std Tensator Printed,53577-AAA,STD,1,,04837,Standard,1,,03466,,,,x,,x,x,,x,x,,,,,,,,,,x,x,,x,,,,,,,,,,,,,x,,,,,x,,,,,,,,,,,ADV144,Standard Cassette,std,,,,,007,2,7.80,8.20,8.20,TBCBuild,7.60,,,,,,
Tensabarrier 4 Way Max Plain,53578-AAB,MAX,2,,08136,Max,1,,03466,,,,x,,x,x,,x,x,,,,,,,,,,x,,x,,,x,,,,,,,,,,,x,,x,,,,,,,,,,,,,,MAX144,Max Cassette,std,,,,,,3,15.00,13.45,13.45,TBCBuild,13.00,,,,,,
Tensabarrier 4 Way Max Tensator Printed,53578-AAA,MAX,2,,08136,Max,1,,03466,,,,x,,x,x,,x,x,,,,,,,,,,x,,x,,,x,,,,,,,,,,,x,,x,,,,,,,,,,,,,,MAX144,Max Cassette,std,,,,,007,4,11.32,13.45,13.45,TBCBuild,13.00,,,,,,
Magnetic Spline Standard Cassette Plain,54173-000,STD,1,,04837,Standard,1,,03466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAS-MAG,Magnetic Standard Cassette.,std,,,,,,5,7.80,8.20,8.20,TBCBuild,,,,,,,
Magnetic Spline Max Cassette  Plain,54174-000,MAX,2,,08136,Magnetic,1,,03466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAS-MAG,Magnetic Max Cassette,std,,,,,,6,11.32,13.45,13.45,TBCBuild,,,,,,,
Magnetic dummy cassette,52451-000,RCV,,,,End Post,,,03466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAS-MAG-RCV,Magnetic Dummy Cassette,std,,,,,,7,,,,TBCBuild,,,,,,,
Tensalarm 4way,55813-33S,STD,1,,04837,Alarm,1,,03466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAS,Tensalarm Standard Cassette,std,,20,,,,8,7.80,8.20,8.20,TBCBuild,,,,,,,
Tensalarm 4way + sounder,55818-33S,STD,1,,04837,Alarm,1,,03466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAS,Tensalarm Standard Cassette,std,55490-000,20,,,,9,7.80,8.20,8.20,TBCBuild,,,,,,,
Tensalarm 4way max,52309-33S,MAX,2,,08136,Alarmmax,1,,03466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAS,Tensalarm Max Cassette,std,,20,,,,10,11.32,13.45,13.45,TBCBuild,,,,,,,
Tensalarm 4way max + sounder,52310-33S,MAX,2,,08136,Alarmmax,1,,03466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAS,Tensalarm Max Cassette,std,55490-000,20,,,,11,11.32,13.45,13.45,TBCBuild,,,,,,,
Munich tensabarrier magnetic cassette,52302-000,STD,1,,04837,Magnetic,1,,03466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAS-MAG,Munich Magnetic Cassette,std,,,,,,12,7.80,8.20,8.20,TBCBuild,,,,,,,
Schipol tensabarrier magnetic cassette,52303-000,STD,1,,04837,Magnetic,1,,03466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAS-MAG,Schipol Magnetic Cassette,std,,,,,,13,7.80,8.20,8.20,TBCBuild,,,,,,,
Munich tensabarrier magnetic cassette max,52315-000,MAX,2,,08136,Magnetic,1,,03466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAS-MAG,Munich Magnetic Max Cassette,std,,,,,,14,11.32,13.45,13.45,TBCBuild,,,,,,,
Schipol tensabarrier magnetic cassette max,52316-000,MAX,2,,08136,Magnetic,1,,03466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAS-MAG,Schipol Magnetic Max Cassette,std,,,,,,15,11.32,13.45,13.45,TBCBuild,,,,,,,
Dualline 4way,54014-000,STD,1,,04837,Standard,1,TRUE,,,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,MDL144,Dualline Standard Cassette,std,,,,,,16,7.80,8.20,8.20,TBCBuild,7.60,,,,,,
Dualline Max 4way,54082-000,MAX,2,,08136,Max,1,TRUE,,,,,,x,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,MDL144,Dualline Max Cassette,std,,,,,,17,11.32,13.45,13.45,TBCBuild,13.00,,,,,,
Dualline end post,58578-33S,RCV,,,,End Post,1,TRUE,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CASD-RCV,Dualline Dummy Cassette,std,,,,,,18,,,,TBCBuild,,,,,,,
Dualline Zinc 4way,59235-33S,STD,1,,04837,Standard,1,TRUE,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CASD-ZINC,Dualline HeavyDuty Standard Cassette,std,,,,,,19,7.80,8.20,8.20,TBCBuild,,,,,,,
Dualline Zinc Max 4way,50478-33S,MAX,2,,08136,Max,1,TRUE,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CASD-ZINC,Dualline HeavyDuty Max Cassette,std,,,,,,20,11.32,13.45,13.45,TBCBuild,,,,,,,
Dualline Zinc end post,69235-33S,RCV,,,,End Post,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CASD-ZINC-RCV,Dualline HeavyDuty Dummy Cassette,std,,,,,,21,,,,TBCBuild,,,,,,,
