id,colorCode,Advance_889_post,Advance_889,Advance_889_dual,slimline_890b_build,popular_post,stow_post,display_post,heavyduty_post,heavyduty_screwfix_post,heavyduty_dual,Slimline_890_build,wide_cassette_post,wide_cassette_dual,heavyduty150_screwfix_post,heavyduty_dual_screwfix_post,utility887_post,safety888_post,slimline_890,tensaclear_post,outdoortwin_post,heavydutybayonettwin_post,heavydutyscrewfixtwin_post,Advance_889_Magnetic_post,680_post,telescopic_post,rotateheadmain_post,rotateheadsub_post,safety888sub_post,rotateheadassy_post,889_postfinishupcharge,qwayplus_post,marine_post,Advance_889B_post,rb1sub_post,889phw_subpost,slimline_890_build_head
Aer Lingus TLP-C609-S (AERL),AERL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthracite Ral7016 (7016),7016,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,
Antique Bronze (AB),AB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antique Copper (10),10,,,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,x
Beige (100),100,,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,x
Black (33),33,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,x,,,,,
Black Gloss (33G),33G,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,x
Black Grey Ral7021 (7021),7021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Satin (33S),33S,,x,,,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,x,,x,
Black Satin Clear Coat (33S/NC),33S/NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Wrinkle (89),89,x,x,x,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,x,x,,x
Blue (23),23,,,,,,,,,,,,,,x,,,,,,x,,,,,,,,,,,x,,,,,
Blue Ral5002 (5002),5002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Ral5003 (5003),5003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Ral5013 (23),23,,x,x,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,x
Blue Ral5017 (5017),5017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brown (46),46,,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,x
Brown Ral8014 (8014),8014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brushed Stainless Lacquer (LAC),LAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brushed Stainless Steel (3B),3B,,,,,,,,,,,,,x,,,,,,,,,,,x,,x,x,,,,,,,,,
Brushed Stainless Steel grit level 150 (3BMK2),3BMK2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brushed/Grained to Grit 240 (240),240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burgundy (40),40,,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,x
Capri Blue Ral5019 (5019),5019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charcoal (80),80,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,
Clear (CL),CL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copper Brown Ral8004 (8004),8004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copper Vein (66),66,,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,x
Cream Ral9001 (9001),9001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cromadex Iridon-M35-O31 (585),585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dove Grey (92),92,,x,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,x
English Antique Brass (6X),6X,,x,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,70,,,,,,x
