desc,prefix_part,oper_code,fg_num,suspend_selection
QueueWay 6ft Black Velour With Chrome Ends,QWYROPE-6BLK1P,PICKING,QWAYROPE,
QueueWay 6ft Black Velour With Brass Ends,QWYROPE-6BLK2P,PICKING,QWAYROPE,
QueueWay 6ft Blue Velour With Chrome Ends,QWYROPE-6BLU1P,PICKING,QWAYROPE,
QueueWay 6ft Blue Velour With Brass Ends,QWYROPE-6BLU2P,PICKING,QWAYROPE,
QueueWay 6ft Red Velour With Chrome Ends,QWYROPE-6RED1P,PICKING,QWAYROPE,
QueueWay 8ft Black Velour With Brass Ends,QWYROPE-8BLK2P,PICKING,QWAYROPE,
QueueWay 8ft Blue Velour With Chrome Ends,QWYROPE-8BLU1P,PICKING,QWAYROPE,
QueueWay 8ft Blue Velour With Brass Ends,QWYROPE-8BLU2P,PICKING,QWAYROPE,
QueueWay 8ft Red Velour With Chrome Ends,QWYROPE-8RED1P,PICKING,QWAYROPE,
QueueWay 8ft Red Velour With Brass Ends,QWYROPE-8RED2P,PICKING,QWAYROPE,
QueueWay 6ft black velour with rope steel chain core,QWYROPE2-6BLK1P,PICKING,QWAYROPE,
QueueWay 6ft black velour with rope steel chain core,QWYROPE2-6BLK2P,PICKING,QWAYROPE,
QueueWay 6ft blue velour with rope steel chain core,QWYROPE2-6BLU1P,PICKING,QWAYROPE,
QueueWay 6ft blue velour with rope steel chain core,QWYROPE2-6BLU2P,PICKING,QWAYROPE,
QueueWay 6ft red velour with rope steel chain core,QWYROPE2-6RED1P,PICKING,QWAYROPE,
QueueWay 6ft red velour with rope steel chain core,QWYROPE2-6RED2P,PICKING,QWAYROPE,
QueueWay 8ft black velour with rope steel chain core,QWYROPE2-8BLK1P,PICKING,QWAYROPE,
QueueWay 8ft black velour with rope steel chain core,QWYROPE2-8BLK2P,PICKING,QWAYROPE,
QueueWay 8ft blue velour with rope steel chain core,QWYROPE2-8BLU1P,PICKING,QWAYROPE,
QueueWay 8ft blue velour with rope steel chain core,QWYROPE2-8BLU2P,PICKING,QWAYROPE,
QueueWay 8ft red velour with rope steel chain core,QWYROPE2-8RED1P,PICKING,QWAYROPE,
QueueWay 8ft red velour with rope steel chain core,QWYROPE2-8RED2P,PICKING,QWAYROPE,
QueueWay 6ft black velour with rope steel chain core,QWYROPE3-6BLK1P,PICKING,QWAYROPE,
QueueWay 6ft black velour with rope steel chain core,QWYROPE3-6BLK2P,PICKING,QWAYROPE,
QueueWay 6ft blue velour with rope steel chain core,QWYROPE3-6BLU1P,PICKING,QWAYROPE,
QueueWay 6ft blue velour with rope steel chain core,QWYROPE3-6BLU2P,PICKING,QWAYROPE,
QueueWay 6ft red velour with rope steel chain core,QWYROPE3-6RED1P,PICKING,QWAYROPE,
QueueWay 6ft red velour with rope steel chain core,QWYROPE3-6RED2P,PICKING,QWAYROPE,
QueueWay 8ft black velour with rope steel chain core,QWYROPE3-8BLK1P,PICKING,QWAYROPE,
QueueWay 8ft black velour with rope steel chain core,QWYROPE3-8BLK2P,PICKING,QWAYROPE,
QueueWay 8ft blue velour with rope steel chain core,QWYROPE3-8BLU1P,PICKING,QWAYROPE,
QueueWay 8ft blue velour with rope steel chain core,QWYROPE3-8BLU2P,PICKING,QWAYROPE,
QueueWay 8ft red velour with rope steel chain core,QWYROPE3-8RED1P,PICKING,QWAYROPE,
QueueWay 8ft red velour with rope steel chain core,QWYROPE3-8RED2P,PICKING,QWAYROPE,
