id,code,r1,r2,r3,r4,r5
Please Enter Here,S01-P,x,,,,
Please Wait Here For The Next Available Teller,S02-P,x,,,,
Exit/Exit Please Do Not Enter Here,S03-P,x,,,,
Please Wait Here For The Next Available Clerk,S04-P,x,,,,
Please Wait Here For The Next Available Agent,S05-P,x,,,,
Please Wait To Be Seated / Please Be Seated,S06-P,x,,,,
Please Wait Here For The Next Available Cashier,S07-P,x,,,,
Wet Floor Please Be Careful,S08-P,x,,,,
This Section Closed,S09-P,x,,,,
Enter Entrada,S10-P,x,,,,
Please Wait / Por Favor Esperar,S11-P,x,,,,
Exit Salida,S12-P,x,,,,
No Entry (includes graphic),S14-P,x,,,,
Please Wait Here For The Next Available Associate,S15-P,x,,,,
Line Forms Here (include graphic),S16-P,x,,,,
Line Forms Here,S17-P,x,,,,
Information (includes graphic),S18-P,x,,,,
(Wheelchair graphic),S20-P,x,,,,
Please Wait Here,S21-P,x,,,,
No Smoking (includes graphic),S30-P,x,,,,
No Smoking Section (includes graphic),S31-P,x,,,,
Smoking In This Area Only (includes graphic),S32-P,x,,,,
Passengers Only Beyond This Point,S40-P,x,,,,
First Class Check-In,S41-P,x,,,,
Express Check-In,S42-P,x,,,,
Purchase Tickets Here,S43-P,x,,,,
