id,part_num_complete,partnum_overrideqty,7x11-Q,7x11-E,8.5x11-Q,8.5x11-E,11x14-Q,11x14-E,14x22-Q,14x22-E,22x28-Q,22x28-E,artwork_range
Red (21) Acrylic (7x11x1/4),900071,,x,,,,,,,,,,1
Blue (23) Acrylic (7x11x1/4),900072,,x,,,,,,,,,,1
Green (28) Acrylic (7x11x1/4),900073,,x,,,,,,,,,,1
White (32) Acrylic (7x11x1/4),,,x,,,,,,,,,,1
Black (33) Acrylic (7x11x1/4),900075,,x,,,,,,,,,,1
Ivory (34) Acrylic (7x11x1/4),900074,,x,,,,,,,,,,1
Yellow (35) Acrylic (7x11x1/4),,,x,,,,,,,,,,1
Gray (36) Acrylic (7x11x1/4),,,x,,,,,,,,,,1
Brown (46) Acrylic (7x11x1/4),,,x,,,,,,,,,,1
Red (21) Acrylic (7x11x1/8),900056,,,x,,,,,,,,,1
Blue (23) Acrylic (7x11x1/8),900057,,,x,,,,,,,,,1
Green (28) Acrylic (7x11x1/8),,,,x,,,,,,,,,1
White (32) Acrylic (7x11x1/8),,,,x,,,,,,,,,1
Black (33) Acrylic (7x11x1/8),900060,,,x,,,,,,,,,1
Ivory (34) Acrylic (7x11x1/8),,,,x,,,,,,,,,1
Yellow (35) Acrylic (7x11x1/8),,,,x,,,,,,,,,1
Gray (36) Acrylic (7x11x1/8),,,,x,,,,,,,,,1
Brown (46) Acrylic (7x11x1/8),,,,x,,,,,,,,,1
Red (21) Acrylic (8.5x11x1/4),900589,,,,x,,,,,,,,1
Blue (23) Acrylic (8.5x11x1/4),900590,,,,x,,,,,,,,1
Green (28) Acrylic (8.5x11x1/4),900594,,,,x,,,,,,,,1
White (32) Acrylic (8.5x11x1/4),900591,,,,x,,,,,,,,1
Black (33) Acrylic (8.5x11x1/4),900592,,,,x,,,,,,,,1
Ivory (34) Acrylic (8.5x11x1/4),,,,,x,,,,,,,,1
Yellow (35) Acrylic (8.5x11x1/4),,,,,x,,,,,,,,1
Gray (36) Acrylic (8.5x11x1/4),,,,,x,,,,,,,,1
Brown (46) Acrylic (8.5x11x1/4),,,,,x,,,,,,,,1
Red (21) Acrylic (8.5x11x1/8),900581,,,,,x,,,,,,,1
Blue (23) Acrylic (8.5x11x1/8),900582,,,,,x,,,,,,,1
Green (28) Acrylic (8.5x11x1/8),900583,,,,,x,,,,,,,1
White (32) Acrylic (8.5x11x1/8),900587,,,,,x,,,,,,,1
Black (33) Acrylic (8.5x11x1/8),900585,,,,,x,,,,,,,1
Ivory (34) Acrylic (8.5x11x1/8),900584,,,,,x,,,,,,,1
Yellow (35) Acrylic (8.5x11x1/8),900588,,,,,x,,,,,,,1
Gray (36) Acrylic (8.5x11x1/8),900586,,,,,x,,,,,,,1
Brown (46) Acrylic (8.5x11x1/8),900580,,,,,x,,,,,,,1
Red (21) Acrylic (11x14x1/4),900086,,,,,,x,,,,,,1
Blue (23) Acrylic (11x14x1/4),900087,,,,,,x,,,,,,1
Green (28) Acrylic (11x14x1/4),900088,,,,,,x,,,,,,1
White (32) Acrylic (11x14x1/4),900092,,,,,,x,,,,,,1
