id,part_prefix,part_num_complete,partnum_overrideqty,fg_num,7x11-Q-V-S,7x11-E-V-S,8.5x11-Q-V-S,8.5x11-E-V-S,11x14-Q-V-S,11x14-E-V-S,14x22-Q-V-S,14x22-E-V-S,22x28-Q-V-S,22x28-E-V-S,7x11-Q-H-S,7x11-Q-V-D,7x11-Q-H-D,7x11-E-H-S,7x11-E-V-D,7x11-E-H-D,8.5x11-Q-H-S,8.5x11-Q-V-D,8.5x11-Q-H-D,8.5x11-E-H-S,8.5x11-E-V-D,8.5x11-E-H-D,11x14-Q-H-S,11x14-Q-V-D,11x14-Q-H-D,11x14-E-H-S,11x14-E-V-D,11x14-E-H-D,14x22-Q-H-S,14x22-Q-V-D,14x22-Q-H-D,14x22-E-H-S,14x22-E-V-D,14x22-E-H-D,22x28-Q-H-S,22x28-Q-V-D,22x28-Q-H-D,22x28-E-H-S,22x28-E-V-D,22x28-E-H-D,7x11,8.5x11,11x14,14x22,22x28
Red (21) Acrylic Pre-Printed Sign (7x11x1/4),900071-,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue (23) Acrylic Pre-Printed Sign (7x11x1/4),900072-,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green (28) Acrylic Pre-Printed Sign (7x11x1/4),900073-,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White (32) Acrylic Pre-Printed Sign (7x11x1/4),,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black (33) Acrylic Pre-Printed Sign (7x11x1/4),900075-,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ivory (34) Acrylic Pre-Printed Sign (7x11x1/4),900074-,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yellow (35) Acrylic Pre-Printed Sign (7x11x1/4),,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gray (36) Acrylic Pre-Printed Sign (7x11x1/4),,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brown (46) Acrylic Pre-Printed Sign (7x11x1/4),,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red (21) Acrylic Pre-Printed Sign (7x11x1/8),900056-,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
