id,fg_desc,commodity_code,std_op_time_min,alt_op_time_min,pick_op_time_min,std_warranty
TMG-SM1000-LH-1P,Left Hand Mechanical Gate (Polished Chrome),8531202090,,,,
TAG1000-1P,Electrical Gate (Polished Chrome),8531202090,45,,,
CBN1IP,Canvas-Indoor-Plain Banner,5806322000,,,,
CBN1IS,Canvas-Indoor-Single Sided Print Banner,5806322000,,,,
CBN1ID,Canvas-Indoor-Double Sided Print Banner,5806322000,,,,
CBN3IP,Indoor 1330 x 871mm Plain colour Mesh banner with top pockets/bottom eyelets,5806322000,,,,
CBN3IS,Mesh-Indoor-Single Sided Print Banner,5806322000,,,,
CBN3ID,Indoor 1330x871mm Mesh banner pocket & eyelets with Double sided print bespoke text/graphic,5806322000,,,,
CBN2IP,PVC-Indoor-Plain Banner,5806322000,,,,
CBN2IS,PVC-Indoor-Single Sided Print Banner,5806322000,,,,
CBN2ID,Indoor 1330x871mm PVC banner pocket & eyelets with Double sided print bespoke text/graphic,5806322000,,,,
CBN2OP,PVC-Outdoor-Plain Banner,5806322000,,,,
CBN2OS,PVC-Outdoor-Single Sided Print Banner,5806322000,,,,
CBN2OD,Outdoor 1330x817mm PVC banner with pockets with Double sided print bespoke text/graphic,5806322000,,,,
CBN3OP,Mesh-Outdoor-Plain Banner,5806322000,,,,
CBN3OS,Outdoor 1330 x817mm Mesh banner with  pockets Single sided print plain colour on reverse,5806322000,,,,
CBN3OD,Mesh-Outdoor-Double Sided Print Banner,5806322000,,,,
CBN1OP,Canvas-Outdoor-Plain Banner,5806322000,,,,
CBN1OS,Canvas-Outdoor-Single Sided Print Banner,5806322000,,,,
CBN1OD,Outdoor 1330x817mm Canvas banner with pockets Double sided print with bespoke text/graphic,5806322000,,,,
CBP3S,Stainless Steel Banner Post,7326908588,8,,,
CBP1P,Polished Chrome Banner Post,7326908588,8,,,
CBR3S,Outdoor cafe banner bar assembly St/St,7326908588,,,,
CBR1P,Indoor cafe banner bar assembly polished chrome,7326908588,,,,
FRSFG,Fixed Rail System,7326908588,,,,
MA18.,Merchandising display tray 150mm steel,7326908588,,,,
MA17.,Merchandising display tray 225mm steel,7326908588,,,,
MA16.,Merchandising display tray 300mm steel,7326908588,,,,
MA41.,Merchandising half shelf 200mm metal -  plastic riser -POS,7326908588,,,,
MA3.,Merchandising display basket wire,7326908588,,,,
MA46.,Merchandising angled display basket wire,7326908588,,,,
MA5,Merchandising display prong 250mm wire,7326908588,,,,
MA32,Merchandising display prong 150mm wire,7326908588,,,,
MA31,Merchandising display hook 150mm wire,7326908588,,,,
MA4,Merchandising display hook 250mm wire,7326908588,,,,
PA12,Merchandising bowl with POS,3926909996,4,,4,
892,Plastic Recess Unit,3926909996,3,,,
892AL,Alarmed Recess Unit,3926909996,3,,,
310E-2P/87/OAKINFILL,Classic post polished Brass with Oak infill metalic expresions loader,7326908588,,,,
310T-1P,Classic Post Traditional Polished Chrome,7326908588,,,,
310T-1S,Classic Post Traditional Satin Chrome,7326908588,,,,
310T-2P,Classic post Traditional base polished brass,7326908588,,,,
310T-2S,Classic Post Traditional Satin Brass,7326908588,,,,
310U-1P,Classic Post Universal Polished Chrome,7326908588,,,,
310U-1S,Classic Post Universal Satin Chrome,7326908588,,,,
310U-2P,Classic Post Universal Polished Brass,7326908588,,,,
310U-2S,Classic Post Universal Satin Brass,7326908588,,,,
310U-33S,Classic post colorific Black,7326908588,,,,
310U-D/L-1P,Classic post double line polished chrome with cut loop,7326908588,,,,
312E-2P/87/OAKINFILL,Sphere post polished brass oak infill light metallic expressions loader,7326908588,,,,
312E-2P/OAKINFILL,Sphere post polished brass oak infill light metallic expressions loader,7326908588,,,,
312T-1P,Sphere Post Traditional Polished Chrome,7326908588,,,,
312T-1S,Sphere Post Traditional Satin Chrome,7326908588,,,,
312T-2P,Sphere Post Traditional base polished Brass,7326908588,,,,
312T-2S,Sphere Post Traditional base Satin Brass,7326908588,,,,
312U-1P,Sphere Post Universal Polished Chrome,7326908588,,,,
312U-1S,Sphere Post Universal Satin Chrome,7326908588,,,,
312U-2P,Sphere Post Universal Polished Brass,7326908588,,,,
312U-2S,Sphere Post Universal Satin Brass,7326908588,,,,
314T-1P,Contemporary Post Traditional Polished Chrome,7326908588,,,,
314T-1S,Contemporary Post Traditional Satin Chrome,7326908588,,,,
314T-2P,Contemporary Post Traditional Polished Brass,7326908588,,,,
314T-2S,Contemporary Post Traditional Satin Brass,7326908588,,,,
314TU-1P,Contemporary Post Polished Chrome with Universal  Base (M10 TAPPED TOP),7326908588,,,,
314U,Rope & post contemporary dual line satin stainless steel weather proof,7326908588,,,,
314U-1P,Contemporary Post Universal Polished Chrome,7326908588,,,,
314U-1S,Contemporary Post Universal Satin Chrome,7326908588,,,,
314U-2P,Contemporary Post Universal Polished Brass,7326908588,,,,
314U-2S,Contemporary Post Universal  Satin Brass,7326908588,,,,
314U-33S,Contemporary Post Gloss Black with Universal Base,7326908588,,,,
314U-3S,Rope & post contemporary post with universal base St/St,7326908588,,,,
SLQ1000-6,SLQ1000 Six Position,8531202090,45,,,
SLQ1000-12,SLQ1000 Twelve Position,8531202090,45,,,
SLQ1000-18,SLQ1000 Eighteen Position,8531202090,45,,,
SLQ1000-24,SLQ1000 Twenty Four Position,8531202090,45,,,
SLQ2000,SLQ2000 System,8531202090,90,,,
SLQ3000,SLQ3000 System,8531202090,90,,,
889,Advance Post,7326908588,3,2,,
890,Slimline Post,7326908588,3,2,,
875,Popular Post Single Pack,7326908588,2.25,,,
885,Outdoor Post Single Pack,7326908588,2.25,,,
886,Heavy Duty Post Single Pack,7326908588,2.25,,,
886P,Heavy Duty Plus Post,7326908588,2.25,,,
TCL,Tensaclear Post,7326908588,3,,,
889P,Advance Plus Post,7326908588,3,,,
887,Utility Post,7326908588,3,,,
888,Safety Post,7326908588,3,,,
SA1,Stowaway Single Post,7326908588,3,,,
SA4,Stowaway Kit (4 x posts),7326908588,10,,,
875/2,Popular Post Twin Pack,7326908588,5,,,
886/2,Heavy Duty Post Twin Pack,7326908588,5,5,,
889T2,Advance Dual Line Post,7326908588,5,,,
886T2,Heavy Duty Dual Line Post,7326908588,5,,,
889PT2,Advance Plus Dual Line Post,7326908588,5,,,
343,25mm Twisted Rope,5806322000,3,,,
443,38mm Twisted Rope,5806322000,3,,,
446,25mm Braided Rope,5806322000,3,,,
545,38mm Polyhemp Rope,5806322000,3,,,
541,1.5inch Velour Rope,7326908588,3,,,
542,38mm Naugahyde Rope,5806322000,3,,,
896,Heavy Duty wall unit,7326908588,2,20,,
897,Midi Wall Unit,7326908588,3,,,
899,Maxi Wall Unit,7326908588,3,,,
897P,Midi Plus Wall Unit,7326908588,3,,,
ESCHEAD,Escalator Head Unit,7326908588,5,,,
896-ALM,Mini Wall Unit Alarmed,7326908588,15,,,
TEN520,Single writing surface,4415103000,10,,,
TEN525,Single link writing surface,4415103000,10,,,
TEN522,Surface link,4415103000,10,,,
CAS,Cassette,3926909996,1.2,,,
CAS-MAG,Magnetic Cassette,3926909996,1.2,,,
CAS-MAG-RCV,Magnetic Receiver Cassette,3926909996,1.2,,,
CASD,Dual Line Cassette,3926909996,1.2,,,
CASD-RCV,Dual Line Receiver Cassette,3926909996,1.2,,,
CAS-ZINC,Zinc Cassette,3926909996,1.2,,,
CAS-RCV,Receiver Cassette,3926909996,1.2,,,
CAS-ZINC-RCV,Zinc Receiver Cassette,3926909996,1.2,,,
CAS-PLUS,Plus Cassette,3926909996,1.2,,,
CAS-PLUS-RCV,Plus Receiver Cassette,3926909996,1.2,,,
CASD-PLUS,Plus Dual Line Cassette,3926909996,1.2,,,
CASD-PLUS-RCV,Plus Dual Line Receiver Cassette,3926909996,1.2,,,
CAS-TOPPER,Topper Cassette,3926909996,1.2,,,
TGP244,Tensaguide Dual Beam Post,7326908588,5,,,
FBS615,Slotted steel infill panel full height,7326908588,5,,,
FBS461,Tensaguide Beam 1.2m,7326908588,3,,,
FBS616,Slatwall Panel 1340 Full Height,4415103000,8,,,
TGP144,Tensaguide Single Beam Post,7326908588,3,,,
TC114,Topper,3926909996,1.25,,,
TAL,Tensalarm Post,7326908588,5,,,
MA-PRONG,Merchandising Prong,7326908588,,,,
MA-HOOK,Merchandising Hook,7326908588,,,,
FBS465,Tensaguide Beam Special,7326908588,5,,,
TMG-EE1000-RH-1P,Right Hand Emergency Exit Mechanical Gate (Polished Chrome),7326908588,,,,
TMG-EE1000-LH-1P,Left Hand Emergency Exit Mechanical Gate (Polished Chrome),7326908588,,,,
GateAncil,Gate Ancillaries,7326908588,15,,,
RB1,Rollabarrier Post,7326908588,3,,,
885/2,Outdoor Post Twin Pack,7326908588,4.5,4.5,,
886P/2,Heavy Duty Plus Post Twin Pack,7326908588,4.5,,,
886/2T2,Heavy Duty Dual Line Post Twin Pack,7326908588,10,,,
RB1T2,Rollabarrier Dual Line Post,7326908588,5,,,
TCL/2,Tensaclear Post Twin Pack,7326908588,5,,,
896CM,Reverse Mini Wallmount,7326908588,2,,,
CASD-ZINC,Dual Line Zinc Cassette,3926909996,1.2,,,
CASD-ZINC-RCV,Dual Line Zinc Receiver Cassette,3926909996,1.2,,,
CAS-WM,Replacement Wallmount Cassette,3926909996,1.2,,,
TCU580,CheckOut Unit,7326908588,8,,,
VAUltra,Virtual Assistant Ultra,8531202090,120,,,
TBU130,Tensaguide Plus 2.5inch Post with Heavyweight Base,7326908588,10,,,
TBU120,Tensaguide Plus 2.5inch Post with Floor Socket Base,7326908588,10,,,
TBU190,Tensaguide Plus 2.5inch Post with Surface Mount Base,7326908588,10,,,
TBP210,Tensaguide plus slotted steel panel full height 1340mm post centre,7326908588,5,,,
TBP220,Tensaguide plus slotted steel panel extra height 1340mm post centre,7326908588,5,,,
TBP410,Tensaguide plus slatwall panel full height 1340mm post centre,7326908588,8,,,
TBP420,Tensaguide plus slatwall panel extra height 1340mm post centre,7326908588,8,,,
TBP110,Tensaguide plus clear acrylic panel full height 1340mm post centre,7326908588,8,,,
TBP150,Tensaguide plus clear acrylic header for std height post 1340mm post centre,7326908588,,,,
TBB1340,Tensaguide plus heavy duty beam 1340 post centre,7326908588,3,,,
TBB1000,Tensaguide plus heavy duty beam 1000 post centre,7326908588,3,,,
TBB1200,Tensaguide plus heavy duty beam 1200 post centre,7326908588,3,,,
TBB1500,Tensaguide plus heavy duty beam 1500 post centre,7326908588,3,,,
TBB2000,Tensaguide plus heavy duty beam 2000 post centre,7326908588,3,,,
TBBCustom,Tensaguide plus heavy duty beam Custom post centre,7326908588,3,,,
SLQ1000-9,SLQ1000 Nine Position,8531202090,45,,,
VAUltraBtn,Virtual Assistant Ultra with Button Unit,8531202090,120,,,
Pending,This FG Number is for Testing Purposes Only,8531202090,,,,
CAS-PLUS-WM,Midi Plus Interior,7326908588,3,,,
TBU130-NB,Tensaguide Plus 2.5inch Post No Base,7326908588,5,,,
IQMPSTD,InQ Merchandising standard height post,7326908588,5,,,
IQMPEXT,InQ Merchandising extra height post,7326908588,5,,,
IQMB,InQ Merchandising Beam,7326908588,5,,,
IQMIW,InQ Merchandising Wooden Slatwall Panel,7326908588,8,,,
IQMIP,InQ Merchandising Plastic (ABS) Slatwall Panel,7326908588,5,,,
TBU110S,Tensaguide Plus 2.5inch Post with Sport Base,7326908588,5,,,
PA6,Merchandising bowl without POS,3926909996,4,,4,
IQMHE,InQ Merchandising Header,7326908588,,,,
FBS463,Tensaguide Beam 2.0m,7326908588,3,,,
TBM130,Tensaguide Plus 2.5inch Post with Magnetic Base,7326908588,10,,,
IMPBOX,Acrylic Impulse Box with adjustable dividers 1120mm (L) x 300mm (W),3926909980,5,,,
Modular Handrail,Modular Handrail System,7326908588,1,,,
TMG-BD1000-1P,Bi Directional Gate Polished Chrome,7326908588,,,,
VAUltraV3,Virtual Assistant Ultra Version3,8531202090,60,,,
CBN40D,Outdoor 1330x817mm Sub-Dye 240 banner with pockets Double sided print with bespoke text/graphic,5806322000,,,,
UNIHEAD,Universal Post Head Assembly,7326908588,2,,,
TMG-SM1000-RH-1P,Right Hand Mechanical Gate (Polished Chrome),8531202090,,,,
891,Mini Wall Unit (Plastic Housing),7326908588,2,,,
889/680,Advance Post 680mm Height,7326908588,3,,,
CASD-MAG,Munich Std Dualline Cassette,7326908588,3,,,
897-15,Midi Wall Unit 15' Belt,7326908588,3,,,
897-24,Midi Wall Unit 24' Belt,7326908588,3,,,
896HC,Mini Max Wall unit,7326908588,3,,,
899-30,Midi Wall Unit 30' Belt,7326908588,3,,,
ADV144,Standard Cassette 7.60ft,7326908588,1.2,,,
ADV144X,Receiver Cassette,7326908588,,,,
MAX144,Max Cassette 13.00ft,7326908588,1.2,,,
CAS-7.60,Std Cassette 7.60ft,7326908588,1.2,,,
360,Rotating Post,7326908588,3,,,
970,XL Wall Mount,7326908588,3,,,
180,Rotating Wall Unit,7326908588,3,,,
310,Classic Rope and Post,7326908588,3,,,
303,Safety Rope and Post,7326908588,3,,,
300,Plastic Rope and Post,7326908588,3,,,
307,Hitching Rope and Post,7326908588,3,,,
309,Deco Rope and Post,7326908588,3,,,
312,Sphere Rope and Post,7326908588,3,,,
314,Contemporary Rope and Post,7326908588,3,,,
1310,Sign Stand,7326908588,3,,,
1410,Sign Stand,7326908588,3,,,
QWAYROPE,QueueWay Rope,7326908588,3,,,
MDL144,Dualline cassette,7326908588,3,,,
ADW144,Plus Cassette,7326908588,3,,,
ADW144X,Plus Cassette Receiver,7326908588,3,,,
QPLUS,QwayPlus Post,7326908588,3,,,1YR
QWAYWALL,QwayWallmount,7326908588,3,,,1YR
543,Twisted Rope,5806322000,5,,,
896CB,Curved Back Wallmount,7326908588,3,,,
MARINE,Marine Post,7326908588,3,,,
896T2,Dual Wall Mount,7326908588,6,,,
895,Slimline Head Unit,7326908588,3,,,
896-REM,Removable Mini Wallmount,7326908588,3,,,
FRAME,Sign Frame,7326908588,1,,,
Clear Protective Inserts,Clear Protective Inserts,7326908588,1,,,
Sign Assembly,Sign Assembly,7326908588,1,,,
Profile Sign,Profile Sign,7326908588,1,,,
